,Treatment,RR,CI_lower,CI_upper,WEIGHT,tau2,Reference
126,NETA,0.0895857364,0.0278162447,0.28852220170000004,1.675821092,0,IFX
127,PBO,0.0199592985,0.0083177725,0.047894264400000004,2.2392306471,0,IFX
128,RISAN,0.5735523129,0.2359108603,1.3944345554,2.206225521,0,IFX
129,SECU,0.5239529552000001,0.2161160607,1.2702743994999999,2.2132229900000002,0,IFX
130,SONELO,0.5071284953,0.2034041701,1.2643758021,2.1454308112,0,IFX
131,TILDRA,0.37039892760000004,0.14874633240000001,0.922344527,2.1483260896,0,IFX
132,USK,0.3771232342,0.15551508790000002,0.9145217721000001,2.2126160069,0,IFX
133,ADA,0.7195904043,0.6338229004,0.8169637759,15.4437004215,0,BRODA
134,APRE,0.3189459235,0.18475780490000002,0.5505938012,3.5899029334,0,BRODA
135,BIME,1.2558303232,1.117077071,1.4118182545,16.7404828074,0,BRODA
136,CERTO,0.5508906416,0.4048958213,0.7495273673,6.3655684772,0,BRODA
137,CICLO,0.2908765464,0.0540729937,1.5647213055,1.1648887764,0,BRODA
138,DEUCRAVA,0.5805252953,0.0820479412,4.1074719679,1.0017225283,0,BRODA
139,ETA,0.4419479485,0.3829765064,0.509999924,13.6853861462,0,BRODA
140,FUM,0.18070011330000002,0.08143808450000001,0.4009491526,2.4592350638,0,BRODA
141,GUSEL,1.0001162474,0.8906909011,1.1229849851,16.9149153886,0,BRODA
142,IFX,2.0795398399,0.8545499454000001,5.0605420651,2.2039138287,0,BRODA
143,IXE,1.2526414707,1.106458408,1.4181379460999999,15.7949611236,0,BRODA
144,MTX,0.2880673206,0.057894989300000005,1.4333326967,1.2215161109000001,0,BRODA
145,NETA,0.18629710800000002,0.08394200830000001,0.4134594009,2.4585540122,0,BRODA
146,PBO,0.0415061564,0.0345359385,0.0498831389,10.6613701509,0,BRODA
147,RISAN,1.192724885,1.0493185853,1.3557299672,15.3006035862,0,BRODA
148,SECU,1.0895810445,0.9815826658000001,1.2094619168,18.777129055,0,BRODA
149,SONELO,1.0545939099,0.8230463839000001,1.3512826695,7.9064619198,0,BRODA
150,TILDRA,0.7702593266000001,0.5915828175,1.0029017284,7.4263364383,0,BRODA
151,USK,0.7842427901,0.7179615617,0.8566430108,22.1963965505,0,BRODA
152,APRE,0.44323259670000004,0.25756761640000003,0.7627322780000001,3.6108238721,0,ADA
153,BIME,1.7452015976,1.5910135896000002,1.9143322447000002,21.1894670999,0,ADA
154,BRODA,1.3896794538,1.2240444797,1.5777277839,15.4437004215,0,ADA
155,CERTO,0.765561406,0.5657990349,1.0358523612,6.4821143552,0,ADA
156,CICLO,0.4042251602,0.07522359120000001,2.172164046,1.1656209688,0,ADA
157,DEUCRAVA,0.8067440753,0.1141240065,5.7028842811,1.0021880152,0,ADA
158,ETA,0.6141659836000001,0.5387754196,0.70010591,14.9656705479,0,ADA
159,FUM,0.25111523480000003,0.1134259111,0.5559475834000001,2.4661468538999998,0,ADA
160,GUSEL,1.3898410004000001,1.2880746793,1.4996475262,25.7756546978,0,ADA
161,IFX,2.8898937889000003,1.1899037033,7.0186235137,2.2088305785,0,ADA
162,IXE,1.7407701149,1.5703517379,1.9296827072,19.0239585414,0,ADA
163,MTX,0.4003212367,0.0805446975,1.9896665761,1.2223604369,0,ADA
164,NETA,0.2588932633,0.11691327130000001,0.5732943837,2.4654600453,0,ADA
165,PBO,0.057680252700000004,0.0484732624,0.0686360148,11.2706820575,0,ADA
166,RISAN,1.6575052666999999,1.5033238309999999,1.8274996062,20.0747525234,0,ADA
167,SECU,1.5141683908,1.3935549534,1.64522103,23.6120770975,0,ADA
168,SONELO,1.4655474887,1.1531993275,1.8624962661,8.1772704935,0,ADA
169,TILDRA,1.0704135603,0.8274521814,1.384714689,7.6131571826,0,ADA
170,USK,1.0898460922,0.9937466188,1.1952387886,21.2329170609,0,ADA
171,ADA,1.3062309466,0.9653885413000001,1.7674119932,6.4821143552,0,CERTO
172,APRE,0.5789641344,0.3178765123,1.0544958684,3.2689682916000002,0,CERTO
173,BIME,2.2796363349,1.6878787986,3.0788595863,6.5215220697,0,CERTO
174,BRODA,1.8152423085,1.3341740991,2.4697711047,6.3655684772,0,CERTO
175,CICLO,0.5280114137,0.096178711,2.8987293544,1.1509710755,0,CERTO
176,DEUCRAVA,1.0537940771,0.1463497664,7.587862858,0.9928308897,0,CERTO
177,ETA,0.8022426142,0.6087114619,1.0573042439,7.0997332985,0,CERTO
178,FUM,0.3280144909,0.1417353479,0.7591155473000001,2.3358465508,0,CERTO
179,GUSEL,1.8154533256,1.349546653,2.4422058847,6.6089734914000005,0,CERTO
180,IFX,3.7748686996,1.4955798009,9.5278324105,2.1169698369,0,CERTO
181,IXE,2.273847795,1.6946722978,3.0509637773,6.6670278455,0,CERTO
182,MTX,0.522911988,0.1028763352,2.657918817,1.2054969216,0,CERTO
183,NETA,0.3381743924,0.1460948104,0.7827924851,2.3352629303,0,CERTO
184,PBO,0.0753437311,0.0546870526,0.1038029579,6.116709155,0,CERTO
185,RISAN,2.1650846736,1.5954192512,2.9381566258,6.4194329963,0,CERTO
186,SECU,1.9778536105,1.4720602534,2.6574353159,6.6362107682,0,CERTO
187,SONELO,1.9143434835000002,1.3207859712,2.7746440775,5.2809158499,0,CERTO
188,TILDRA,1.3982073181,0.9796973947000001,1.9954975026000001,5.5102232715,0,CERTO
189,USK,1.4235906928,1.0591594959,1.9134138611,6.6281899866,0,CERTO
190,ADA,2.2561517528,1.3110760208,3.8824756545,3.6108238721,0,APRE
191,BIME,3.9374396435000003,2.2896472404,6.7711002256,3.61534958,0,APRE
192,BRODA,3.1353277357,1.816220956,5.4124912376,3.5899029334,0,APRE
193,CERTO,1.7272227079,0.9483204534,3.1458757133,3.2689682916000002,0,APRE
194,CICLO,0.9119933037,0.1573452511,5.2860304358,1.1154170983,0,APRE
195,DEUCRAVA,1.8201370595,0.241170765,13.7367351113,0.9697392695,0,APRE
196,ETA,1.3856516605,0.8116553855,2.3655735656,3.6645790389,0,APRE
197,FUM,0.5665540772000001,0.22033940130000002,1.4567686054,2.0753842158,0,APRE
198,GUSEL,3.1356922092,1.8269838099,5.3818570135,3.6283964162,0,APRE
199,IFX,6.5200389374,2.3408422973,18.1605176024,1.9133720283,0,APRE
200,IXE,3.9274415459,2.2889388755,6.7388418546,3.6303027769,0,APRE
201,MTX,0.90318546,0.1678843747,4.8589630607,1.1648276134,0,APRE
202,NETA,0.5841024899,0.2271218585,1.5021703371,2.074974835,0,APRE
203,PBO,0.1301354033,0.0759140115,0.2230842878,3.6365377031,0,APRE
204,RISAN,3.7395834129,2.1694696822,6.4460380417,3.5996891043,0,APRE
205,SECU,3.416193669,1.9919652005000001,5.8587264382,3.6336314717000002,0,APRE
206,SONELO,3.3064975354,1.8433767788000002,5.9309231176,3.3544963993,0,APRE
207,TILDRA,2.4150154303,1.3544697365,4.3059651844,3.3892699067,0,APRE
208,USK,2.4588581713,1.4333290898,4.2181405162,3.6316653074,0,APRE
209,ADA,0.5744583914,0.5182199106,0.6368000085000001,19.0239585414,0,IXE
210,APRE,0.2546186845,0.1483934512,0.4368836629,3.6303027769,0,IXE
211,BIME,1.0025457024,0.905398596,1.1101164614,19.2303046385,0,IXE
212,BRODA,0.7983130236,0.7051500192,0.903784537,15.7949611236,0,IXE
213,CERTO,0.43978317380000004,0.3277652811,0.5900845853000001,6.6670278455,0,IXE
214,CICLO,0.23221053530000002,0.0432131231,1.2478092041,1.1656257795,0,IXE
215,DEUCRAVA,0.4634409038,0.0655598844,3.276050183,1.0021910728,0,IXE
216,ETA,0.352812803,0.3167717471,0.3929544699,18.1892188534,0,IXE
217,FUM,0.1442552538,0.0651594231,0.3193640652,2.4661924159,0,IXE
218,GUSEL,0.7984058254,0.7386686989,0.8629739733,25.2033269065,0,IXE
219,IFX,1.6601237373000002,0.6839756904000001,4.0293987956,2.2103807902,0,IXE
220,MTX,0.2299678937,0.046269914100000004,1.1429723426,1.2223659849,0,IXE
221,NETA,0.1487234076,0.0671627956,0.3293289352,2.4655055693,0,IXE
222,PBO,0.0331349052,0.0278477413,0.039425888400000005,11.2750335311,0,IXE
223,RISAN,0.9521678093,0.8486862965,1.0682669683000001,17.0358241196,0,IXE
224,SECU,0.8698267381,0.7982787066,0.9477874683,22.8341762481,0,IXE
225,SONELO,0.8418960529,0.6618104508,1.0709848462,8.1436822388,0,IXE
226,TILDRA,0.6149080520000001,0.48011752830000004,0.787540321,7.9210538294,0,IXE
227,USK,0.626071233,0.5731872507,0.6838344508,22.2092034122,0,IXE
228,ADA,0.7195067635,0.6668233585000001,0.7763525019,25.7756546978,0,GUSEL
229,APRE,0.3189088512,0.1858094701,0.5473502253,3.6283964162,0,GUSEL
230,BIME,1.2556843532,1.1556681331,1.3643563837000001,23.6138665205,0,GUSEL
231,BRODA,0.9998837662000001,0.8904838562,1.1227239425,16.9149153886,0,GUSEL
232,CERTO,0.5508266095000001,0.4094658875,0.7409895744,6.6089734914000005,0,GUSEL
233,CICLO,0.2908427367,0.0541525626,1.5620589964,1.16598831,0,GUSEL
234,DEUCRAVA,0.5804578186,0.0821504021,4.1013953736,1.002421464,0,GUSEL
235,ETA,0.4418965791,0.3934364987,0.4963255501,16.8738314592,0,GUSEL
236,FUM,0.1806791099,0.08170228260000001,0.39955971500000004,2.4696315821,0,GUSEL
237,IFX,2.079298127,0.8571819413,5.043830828,2.2118513965,0,GUSEL
238,IXE,1.2524958714,1.1587834986,1.3537868892,25.2033269065,0,GUSEL
239,MTX,0.2880338374,0.0579846591,1.4307834664,1.2227840955,0,GUSEL
240,NETA,0.186275454,0.08421425090000001,0.4120269951,2.4689418588,0,GUSEL
241,PBO,0.041501332,0.035058645400000005,0.0491279835,11.6180313871,0,GUSEL
242,RISAN,1.19258625,1.0804903064,1.3163116366,19.8562764958,0,GUSEL
243,SECU,1.0894543983,1.0240559841,1.1590292957,31.6609963709,0,GUSEL
244,SONELO,1.0544713304,0.8351057266,1.3314598992,8.4034883055,0,GUSEL
245,TILDRA,0.7701697964,0.5994658582,0.9894833995000001,7.8221035624,0,GUSEL
246,USK,0.7841516346,0.7266058587,0.8462549244,25.7156325367,0,GUSEL
247,ADA,0.6033163333,0.5471957403000001,0.6651926746,20.0747525234,0,RISAN
248,APRE,0.2674094651,0.15513405190000001,0.4609421409,3.5996891043,0,RISAN
249,BIME,1.0529086288,0.9485902700000001,1.168699085,18.7856820328,0,RISAN
250,BRODA,0.8384163126,0.737610014,0.9529994169,15.3006035862,0,RISAN
251,CERTO,0.46187570040000003,0.3403494529,0.6267944926,6.4194329963,0,RISAN
252,CICLO,0.24387564150000002,0.0453582762,1.3112343226,1.1652338631,0,RISAN
253,DEUCRAVA,0.4867218774,0.0688198141,3.4422962222,1.0019419436,0,RISAN
254,ETA,0.3705363693,0.32289886,0.4252018759,14.2428967791,0,RISAN
255,FUM,0.1515019227,0.0683509204,0.3358086831,2.4624870056,0,RISAN
256,GUSEL,0.8385137763,0.7596985183,0.9255057579,19.8562764958,0,RISAN
257,IFX,1.7435201244,0.7171365598,4.2388892082,2.206225521,0,RISAN
258,IXE,1.0502350429,0.9360955919,1.1782916775,17.0358241196,0,RISAN
259,MTX,0.2415203407,0.0485654736,1.2011017435,1.2219140271,0,RISAN
260,NETA,0.1561945344,0.07045244120000001,0.34628654670000003,2.4618032494,0,RISAN
261,PBO,0.0347994386,0.0290895156,0.041630151000000004,10.9360698495,0,RISAN
262,SECU,0.9135225216,0.8349112314,0.9995354788,21.7819840768,0,RISAN
263,SONELO,0.8841887372,0.6939992587,1.1264993632,8.0924972057,0,RISAN
264,TILDRA,0.6457979843,0.4974913194,0.8383162083,7.5122084192,0,RISAN
265,USK,0.6575219483,0.598748104,0.7220651048000001,20.9318601999,0,RISAN
266,ADA,1.2395504729,0.17534986700000002,8.7623982923,1.0021880152,0,DEUCRAVA
267,APRE,0.5494091749000001,0.0727975019,4.1464395571,0.9697392695,0,DEUCRAVA
268,BIME,2.1632654656,0.3060302533,15.2916825198,1.0022037311,0,DEUCRAVA
269,BRODA,1.7225778242,0.24345875220000002,12.187996256,1.0017225283,0,DEUCRAVA
270,CERTO,0.9489520028,0.1317894141,6.8329456505,0.9928308897,0,DEUCRAVA
271,CICLO,0.5010574885,0.0384464223,6.5300902361,0.7634018311,0,DEUCRAVA
272,ETA,0.7612897354,0.1076208008,5.3852234619,1.0018400784,0,DEUCRAVA
273,FUM,0.31127000800000004,0.0382443228,2.5334222361,0.9348176450000001,0,DEUCRAVA
274,GUSEL,1.7227780692999999,0.24381945870000002,12.1727949504,1.002421464,0,DEUCRAVA
275,IFX,3.5821692127,0.42332145320000003,30.312511143000002,0.9177783048,0,DEUCRAVA
276,IXE,2.1577724191,0.3052456294,15.2532300689,1.0021910728,0,DEUCRAVA
277,MTX,0.49621837830000004,0.0400443868,6.1489936226,0.7786962685000001,0,DEUCRAVA
278,NETA,0.320911267,0.039425591,2.6121115418,0.934780224,0,DEUCRAVA
279,PBO,0.0714975845,0.0101928843,0.5015169862000001,1.0061736912,0,DEUCRAVA
280,RISAN,2.0545614372,0.2905037613,14.5306989504,1.0019419436,0,DEUCRAVA
281,SECU,1.8768881449,0.265701042,13.2581682101,1.0025582279,0,DEUCRAVA
282,SONELO,1.8166200826,0.25389287380000003,12.998035254,0.9960257887,0,DEUCRAVA
283,TILDRA,1.3268316348,0.1854281019,9.4941498555,0.9959947122,0,DEUCRAVA
284,USK,1.350919239,0.19121841150000002,9.5439700403,1.0024938225,0,DEUCRAVA
285,ADA,0.5729997047000001,0.5223753624,0.6285301436,21.1894670999,0,BIME
286,APRE,0.25397214700000004,0.1476864862,0.436748501,3.61534958,0,BIME
287,BRODA,0.7962859166,0.7083064671,0.8951933809,16.7404828074,0,BIME
288,CERTO,0.4386664595,0.3247955849,0.5924596013,6.5215220697,0,BIME
289,CICLO,0.2316208974,0.043104633,1.2446049612,1.1656456956,0,BIME
290,DEUCRAVA,0.4622641169,0.0653950276,3.2676507935,1.0022037311,0,BIME
291,ETA,0.3519169272,0.31017133280000003,0.3992810121,15.5222548583,0,BIME
292,FUM,0.14388895540000002,0.0649979188,0.3185337602,2.4663810617,0,BIME
293,GUSEL,0.7963784827,0.7329463269000001,0.8653003154000001,23.6138665205,0,BIME
294,IFX,1.6559082875,0.6819424587,4.0209144067,2.2092979081,0,BIME
295,IXE,0.9974607617000001,0.9008063882,1.1044859186,19.2303046385,0,BIME
296,MTX,0.2293839504,0.0461538143,1.1400357153,1.2223889534,0,BIME
297,NETA,0.1483457634,0.0669963246,0.3284727284,2.4656940575,0,BIME
298,PBO,0.0330507678,0.0277847558,0.0393148408,11.2931016462,0,BIME
299,RISAN,0.9497500283,0.8556522486,1.054195928,18.7856820328,0,BIME
300,SECU,0.8676180407,0.8144648936000001,0.9242400385,31.0027259483,0,BIME
301,SONELO,0.8397582782,0.6648149515,1.0607372234,8.3902187009,0,BIME
302,TILDRA,0.6133466539,0.4751589974,0.7917226022,7.6778198553,0,BIME
