,studlab,treat1,treat2,TE1,seTE1,event11,n11,event21,n21,incr,allstudies,unique_id,studlab.orig,rob,year,co_intervention,sample_size,age,male,duration_pso,bmi,weight,pasi_score,previous_topical,previous_photo,previous_systemic,previous_bio,effect_size1,outcome1_direction,treat.orig1,treat.orig2,treat_class1,treat_class2,rsae1,rsae2,n.orig1,n.orig2,r11,r12,n12
43,UNCOVER-2_2015,ETA,PBO,3.4481236124,1.0030850892,67.0,358,1.0,168,0.0,0,69,UNCOVER-2_2015,1,2015,0,1224,45.0,821.0,19.0,31,91.0,21.0,1007.0,570.0,606.0,288.0,RR,beneficial,ETA,PBO,ATA,PBO,8.0,2.0,358,168,67.0,1.0,168
44,UNCOVER-2_2015,IXE,PBO,4.6960422956,0.9974030061,455.0,698,1.0,168,0.0,0,69,UNCOVER-2_2015,1,2015,0,1224,45.0,821.0,19.0,31,91.0,21.0,1007.0,570.0,606.0,288.0,RR,beneficial,IXE,PBO,AIL17,PBO,13.0,2.0,698,168,455.0,1.0,168
45,UNCOVER-3_2015,ETA,IXE,-0.9549880218000001,0.0907457383,98.0,382,514.0,771,0.0,0,70,UNCOVER-3_2015,1,2015,0,1346,46.0,918.0,18.0,30.5,91.0,21.0,1063.0,522.0,615.0,209.0,RR,beneficial,ETA,IXE,ATA,AIL17,5.0,15.0,382,771,98.0,514.0,771
46,UNCOVER-3_2015,ETA,PBO,2.1104775897,0.411183171,98.0,382,6.0,193,0.0,0,70,UNCOVER-3_2015,1,2015,0,1346,46.0,918.0,18.0,30.5,91.0,21.0,1063.0,522.0,615.0,209.0,RR,beneficial,ETA,PBO,ATA,PBO,5.0,5.0,382,193,98.0,6.0,193
47,UNCOVER-3_2015,PBO,IXE,-3.0654656116,0.4026584507,6.0,193,514.0,771,0.0,0,70,UNCOVER-3_2015,1,2015,0,1346,46.0,918.0,18.0,30.5,91.0,21.0,1063.0,522.0,615.0,209.0,RR,beneficial,PBO,IXE,PBO,AIL17,5.0,15.0,193,771,6.0,514.0,771
48,CLEAR_2015,USK,SECU,-0.3191760913,0.0552450394,193.0,339,264.0,337,0.0,0,72,CLEAR_2015,1,2015,0,676,45.0,481.0,18.0,29,87.0,22.0,,,441.0,92.0,RR,beneficial,USK,SECU,AIL1223,AIL17,10.0,10.0,339,337,193.0,264.0,337
49,JUNCTURE_2015,SECU,PBO,4.0640550404,1.4117013456,57.0,121,0.0,61,0.5,0,73,JUNCTURE_2015,1,2015,0,182,45.0,125.0,21.0,,91.0,20.0,,,90.0,43.0,RR,beneficial,SECU,PBO,AIL17,PBO,4.0,1.0,121,61,57.0,0.0,61
50,AMAGINE-1 2016,PBO,BRODA,-4.229133553,0.7053192078,2.0,220,186.0,298,0.0,0,74,AMAGINE-1 2016,1,2016,0,661,46.0,484.0,20.0,,91.0,20.0,,,,305.0,RR,beneficial,PBO,BRODA,PBO,AIL17,3.0,6.0,220,298,2.0,186.0,298
51,Nakagawa_2016,PBO,BRODA,-3.0690814244,0.9901816263000001,1.0,38,64.0,113,0.0,0,75,Nakagawa_2016,3,2015,0,151,45.0,120.0,15.0,,74.0,26.0,,,,16.0,RR,beneficial,PBO,BRODA,PBO,AIL17,1.0,3.0,38,113,1.0,64.0,113
52,AMAGINE-2_2015,PBO,BRODA,-2.9169255039,0.3119509777,10.0,309,731.0,1222,0.0,0,76,AMAGINE-2_2015,2,2015,0,1831,45.0,1258.0,19.0,31,91.0,20.0,,,,530.0,RR,beneficial,PBO,BRODA,PBO,AIL17,8.0,19.0,309,1222,10.0,731.0,1222
