Treatment,RR,CI_lower,CI_upper,WEIGHT,Reference
APRE,-1.178776339,-1.871100921,-0.486451758,2.831042045,IXE
BIME,0.873074913,-1.960458172,3.706607997,0.69171594,IXE
BRODA,-0.061423264,-0.505588809,0.38274228,4.412769122,IXE
CERTO,-0.582268454,-1.196673677,0.03213677,3.190077048,IXE
CICLO,-2.305594162,-2.947127019,-1.664061305,3.055182566,IXE
ETA,-1.026525972,-1.338452585,-0.714599358,6.283529244,IXE
FUM,-1.843130295,-2.288681438,-1.397579153,4.399046065,IXE
GUSEL,-0.127071606,-0.487485473,0.233342261,5.438192534,IXE
IFX,-0.477195473,-1.089383632,0.134992687,3.201630037,IXE
MIRI,-0.738601726,-1.6678245,0.190621048,2.109289672,IXE
MTX,-2.129165012,-2.486883557,-1.771446468,5.479168,IXE
PBO,-3.188979302,-3.497167283,-2.880791321,6.359754826,IXE
RISAN,0.0832141,-0.307039671,0.473467871,5.022372992,IXE
SECU,0.048901813,-0.312578503,0.410382129,5.42214863,IXE
TILDRA,-0.418210963,-1.013802328,0.177380402,3.290846902,IXE
TOFA,-0.936595947,-1.425975281,-0.447216613,4.005073087,IXE
TYK2,-0.55088769,-2.60567932,1.50390394,0.953868009,IXE
USK,-0.3737742,-0.705788247,-0.041760154,5.903364687,IXE
ACI,-2.316432255,-2.958253271,-1.674611239,3.053810877,CERTO
ADA,0.024702296,-0.609209325,0.658613918,3.091913655,CERTO
APRE,-0.596507886,-1.432181672,0.2391659,2.345412808,CERTO
BIME,1.455343366,-1.418476282,4.329163014,0.682019138,CERTO
BRODA,0.520845189,-0.148415277,1.190105656,2.928605675,CERTO
CICLO,-1.723325709,-2.535917425,-0.910733993,2.412035419,CERTO
ETA,-0.444257518,-0.994561727,0.106046691,3.561666381,CERTO
FUM,-1.260861842,-1.938520548,-0.583203136,2.8923114,CERTO
GUSEL,0.455196848,-0.180664812,1.091058507,3.082431488,CERTO
IFX,0.105072981,-0.6795619,0.889707861,2.497977147,CERTO
IXE,0.582268454,-0.03213677,1.196673677,3.190077048,CERTO
MIRI,-0.156333272,-1.201983593,0.889317048,1.874431597,CERTO
MTX,-1.546896559,-2.160658277,-0.93313484,3.193421716,CERTO
PBO,-2.606710849,-3.176719148,-2.03670255,3.438546428,CERTO
RISAN,0.665482554,0.029895037,1.30107007,3.083761007,CERTO
SECU,0.631170267,0.016333024,1.246007509,3.187835521,CERTO
TILDRA,0.16405749,-0.590040876,0.918155857,2.599130416,CERTO
TOFA,-0.354327494,-1.032080588,0.323425601,2.891908597,CERTO
TYK2,0.031380764,-2.078618827,2.141380354,0.928910133,CERTO
USK,0.208494253,-0.396087663,0.813076169,3.241909736,CERTO
ACI,-2.771629102,-3.206596776,-2.336661429,4.50608199,GUSEL
ADA,-0.430494551,-0.730913507,-0.130075595,6.524222128,GUSEL
APRE,-1.051704733,-1.758183404,-0.345226063,2.774322966,GUSEL
BIME,1.000146519,-1.83437654,3.834669578,0.691474354,GUSEL
BRODA,0.065648342,-0.385906452,0.517203135,4.340558509,GUSEL
CERTO,-0.455196848,-1.091058507,0.180664812,3.082431488,GUSEL
CICLO,-2.178522556,-2.832950567,-1.524094545,2.994981828,GUSEL
ETA,-0.899454366,-1.266445222,-0.532463509,5.340732513,GUSEL
FUM,-1.716058689,-2.149905816,-1.282211562,4.517720362,GUSEL
IFX,-0.350123867,-0.974500334,0.2742526,3.139131764,GUSEL
IXE,0.127071606,-0.233342261,0.487485473,5.438192534,GUSEL
MIRI,-0.61153012,-1.543767318,0.320707078,2.102469204,GUSEL
MTX,-2.002093406,-2.382453987,-1.621732825,5.153005063,GUSEL
PBO,-3.061907696,-3.379068635,-2.744746757,6.179827837,GUSEL
RISAN,0.210285706,-0.171310223,0.591881636,5.136323136,GUSEL
SECU,0.175973419,-0.168033596,0.519980434,5.697558224,GUSEL
TILDRA,-0.291139357,-0.908531846,0.326253132,3.174641794,GUSEL
TOFA,-0.809524341,-1.317680945,-0.301367738,3.857078677,GUSEL
TYK2,-0.423816084,-2.479972661,1.632340494,0.953234798,GUSEL
USK,-0.246702594,-0.599101826,0.105696638,5.561873642,GUSEL
ACI,-2.947602521,-3.358803391,-2.536401652,4.766526891,SECU
ADA,-0.60646797,-0.966195803,-0.246740138,5.448563672,SECU
APRE,-1.227678152,-1.916848436,-0.538507869,2.843999587,SECU
BIME,0.8241731,-2.006848351,3.65519455,0.692329618,SECU
BRODA,-0.110325077,-0.522111886,0.301461731,4.759744506,SECU
CERTO,-0.631170267,-1.246007509,-0.016333024,3.187835521,SECU
CICLO,-2.354495975,-2.999030817,-1.709961134,3.040952752,SECU
ETA,-1.075427785,-1.399732972,-0.751122597,6.043689936,SECU
FUM,-1.892032108,-2.305657203,-1.478407014,4.738590637,SECU
GUSEL,-0.175973419,-0.519980434,0.168033596,5.697558224,SECU
IFX,-0.526097286,-1.137680987,0.085486415,3.204794366,SECU
IXE,-0.048901813,-0.410382129,0.312578503,5.42214863,SECU
MIRI,-0.787503539,-1.709039039,0.134031961,2.126884966,SECU
MTX,-2.178066825,-2.541141628,-1.814992023,5.398336619,SECU
PBO,-3.237881115,-3.522051038,-2.953711192,6.897281669,SECU
RISAN,0.034312287,-0.291395721,0.360020295,6.017659843,SECU
TILDRA,-0.467112776,-1.062926915,0.128701363,3.289616464,SECU
TOFA,-0.98549776,-1.469637901,-0.501357619,4.048414568,SECU
TYK2,-0.599789503,-2.651116233,1.451537228,0.955479189,SECU
USK,-0.422676014,-0.699594596,-0.145757431,7.07789265,SECU
ACI,-2.981914809,-3.417006112,-2.546823505,4.504801602,RISAN
ADA,-0.640780257,-1.001710798,-0.279849716,5.430407731,RISAN
APRE,-1.26199044,-1.968334049,-0.55564683,2.774853449,RISAN
BIME,0.789860812,-2.044684762,3.624406387,0.691468861,RISAN
BRODA,-0.144637365,-0.56995425,0.280679521,4.608328676,RISAN
CERTO,-0.665482554,-1.30107007,-0.029895037,3.083761007,RISAN
CICLO,-2.388808262,-3.04793277,-1.729683755,2.973641516,RISAN
ETA,-1.109740072,-1.475932298,-0.743547845,5.352380141,RISAN
FUM,-1.926344396,-2.358391763,-1.494297028,4.536539619,RISAN
GUSEL,-0.210285706,-0.591881636,0.171310223,5.136323136,RISAN
IFX,-0.560409573,-1.188065858,0.067246712,3.122728229,RISAN
IXE,-0.0832141,-0.473467871,0.307039671,5.022372992,RISAN
MIRI,-0.821815826,-1.754121481,0.110489829,2.102314825,RISAN
MTX,-2.212379113,-2.600764574,-1.823993651,5.046532878,RISAN
PBO,-3.272193403,-3.589555502,-2.954831303,6.175910738,RISAN
SECU,-0.034312287,-0.360020295,0.291395721,6.017659843,RISAN
TILDRA,-0.501425063,-1.11854215,0.115692023,3.17605855,RISAN
TOFA,-1.019810048,-1.527802453,-0.511817642,3.858325396,RISAN
TYK2,-0.63410179,-2.690289406,1.422085826,0.953220409,RISAN
USK,-0.456988301,-0.744407474,-0.169569128,6.819308466,RISAN
ACI,-3.771775621,-6.60434136,-0.939209882,0.691952166,BIME
ADA,-1.43064107,-4.263558459,1.40227632,0.691866274,BIME
APRE,-2.051851252,-4.940902203,0.837199699,0.67842348,BIME
BRODA,-0.934498177,-3.776361817,1.907365463,0.689688264,BIME
CERTO,-1.455343366,-4.329163014,1.418476282,0.682019138,BIME
CICLO,-3.178669075,-6.056733996,-0.300604153,0.68101313,BIME
ETA,-1.899600884,-4.727982438,0.928780669,0.692975811,BIME
FUM,-2.716205208,-5.560160896,0.12775048,0.689180921,BIME
GUSEL,-1.000146519,-3.834669578,1.83437654,0.691474354,BIME
IFX,-1.350270386,-4.220752192,1.520211421,0.682812201,BIME
IXE,-0.873074913,-3.706607997,1.960458172,0.69171594,BIME
MIRI,-1.611676638,-4.561660544,1.338307267,0.664410405,BIME
MTX,-3.002239925,-5.83060621,-0.17387364,0.692979552,BIME
PBO,-4.062054215,-6.878777473,-1.245330957,0.695844008,BIME
RISAN,-0.789860812,-3.624406387,2.044684762,0.691468861,BIME
SECU,-0.8241731,-3.65519455,2.006848351,0.692329618,BIME
TILDRA,-1.291285876,-4.161009132,1.578437381,0.682992688,BIME
