RR,TE_diamond,id,studlab,treat1,treat2,CI_lower,CI_upper,CI_lower_diamond,CI_upper_diamond,Predict_lo,Predict_up,WEIGHT,tau2,I2
0.77755102,1.130190074,30,Papp_2015_OPT Pivotal-2,PBO,TOFA,0.130106745,4.6468428,0.491469601,2.599000222,0.292362852,4.368987347,1.201879744,3.78E-07,0
8.142857143,1.130190074,30,Krueger_2016,PBO,TOFA,0.733346233,90.41584923,0.491469601,2.599000222,0.292362852,4.368987347,0.662892972,3.78E-07,0
1.644444444,1.644444444,31,"Papp TYK2, 2018",PBO,TYK2,0.202284294,13.36830201,0.202284294,13.36830201,NA,NA,0.874837871,NA,NA
9.923076923,1.074388902,32,Igarashi_2012,PBO,USK,0.875646562,112.4511417,0.596370077,1.935562425,0.537499817,2.147557033,0.651810867,1.30E-06,0.02752845
0.4,1.074388902,32,Krueger_2007,PBO,USK,0.051945133,3.080173095,0.596370077,1.935562425,0.537499817,2.147557033,0.921917327,1.30E-06,0.02752845
1,1.074388902,32,Leonardi_2008_PHOENIX1,PBO,USK,0.141407489,7.071761235,0.596370077,1.935562425,0.537499817,2.147557033,1.003943476,1.30E-06,0.02752845
0.997560976,1.074388902,32,Papp_2008_PHOENIX2,PBO,USK,0.251194712,3.961579814,0.596370077,1.935562425,0.537499817,2.147557033,2.01982172,1.30E-06,0.02752845
5.082644628,1.074388902,32,Tsai_2011_PEARL,PBO,USK,0.446956724,57.79816035,0.596370077,1.935562425,0.537499817,2.147557033,0.649951807,1.30E-06,0.02752845
0.987654321,1.074388902,32,Zhu_2013_LOTUS,PBO,USK,0.096366391,10.12241969,0.596370077,1.935562425,0.537499817,2.147557033,0.709312478,1.30E-06,0.02752845
1.941747573,1.074388902,32,Lebwohl_2015_AMAGINE2,PBO,USK,0.421723951,8.940406703,0.596370077,1.935562425,0.537499817,2.147557033,1.647484462,1.30E-06,0.02752845
1.49047619,1.074388902,32,Lebwohl_2015_AMAGINE3,PBO,USK,0.22993717,9.661418718,0.596370077,1.935562425,0.537499817,2.147557033,1.09965415,1.30E-06,0.02752845
0.375,1.074388902,32,"Gordon UltIMMa-1, 2018  ",PBO,USK,0.076080744,1.848365201,0.596370077,1.935562425,0.537499817,2.147557033,1.509741914,1.30E-06,0.02752845
0.336734694,1.074388902,32,"Gordon UltIMMa-2, 2018  ",PBO,USK,0.041315661,2.744486037,0.596370077,1.935562425,0.537499817,2.147557033,0.87269497,1.30E-06,0.02752845
1.490853659,1.490853659,33,"Warren IMMerge, 2020",RISAN,SECU,0.365088944,6.087953823,0.365088944,6.087953823,NA,NA,1.940576346,NA,NA
0.293585526,0.577563136,34,"Gordon UltIMMa-1, 2018  ",RISAN,USK,0.072945292,1.18160417,0.24068242,1.385972337,0.001981987,168.3054037,1.981213076,0,0
0.673469388,0.577563136,34,"Gordon UltIMMa-2, 2018  ",RISAN,USK,0.131047146,3.461052231,0.24068242,1.385972337,0.001981987,168.3054037,1.433704459,0,0
1.164021164,0.577563136,34,"Papp NCT02054481, 2017  ",RISAN,USK,0.247021018,5.485141641,0.24068242,1.385972337,0.001981987,168.3054037,1.598607304,0,0
1.005934718,1.258803592,35,Thaçi_2015_CLEAR,SECU,USK,0.273901804,3.694406696,0.506460669,3.128745388,NA,NA,2.269898764,0,0
1.561212121,1.258803592,35,Bagel_2018_CLARITY,SECU,USK,0.436383572,5.585414865,0.506460669,3.128745388,NA,NA,2.364192338,0,0
