"","comparison","k","direct","nma","indirect","p.value"
"70","BRODA:USK",2,1.49785093157571,1.06744775794974,0.829462729604798,0.308826083528982
"71","CERTO:CICLO",0,NA,0.123433941701742,0.123433941701742,NA
"72","CERTO:DEUCRAVA",0,NA,1.14942076047784,1.14942076047784,NA
"73","CERTO:ETA",1,2.56024096385542,0.877426921516248,0.700375794279664,0.280351803227628
"74","CERTO:FUM",0,NA,0.799204562244469,0.799204562244469,NA
"75","CERTO:GUSEL",0,NA,0.773073274292228,0.773073274292228,NA
"76","CERTO:IFX",0,NA,0.59225999857,0.59225999857,NA
"77","CERTO:IXE",0,NA,0.770579474317542,0.770579474317542,NA
"78","CERTO:MTX",0,NA,8.77330477941614,8.77330477941614,NA
"79","CERTO:NETA",0,NA,0.887458938206777,0.887458938206777,NA
"80","CERTO:PBO",5,0.606241087325888,0.698972084074364,34.0920042546486,0.073520078506764
"81","CERTO:RISAN",0,NA,0.957328473460186,0.957328473460186,NA
"82","CERTO:SECU",0,NA,0.657508769803705,0.657508769803705,NA
"83","CERTO:SONELO",0,NA,0.566289290134618,0.566289290134618,NA
"84","CERTO:TILDRA",0,NA,0.87973238503591,0.87973238503591,NA
"85","CERTO:USK",0,NA,0.723086003710567,0.723086003710567,NA
"86","CICLO:DEUCRAVA",0,NA,9.31203155818542,9.31203155818542,NA
"87","CICLO:ETA",0,NA,7.10847364525072,7.10847364525072,NA
"88","CICLO:FUM",0,NA,6.47475525148192,6.47475525148192,NA
"89","CICLO:GUSEL",0,NA,6.26305263879714,6.26305263879714,NA
"90","CICLO:IFX",0,NA,4.79819400081299,4.79819400081299,NA
"91","CICLO:IXE",0,NA,6.24284911989217,6.24284911989217,NA
"92","CICLO:MTX",0,NA,71.0769230769231,71.0769230769231,NA
"93","CICLO:NETA",0,NA,7.18974802207301,7.18974802207301,NA
"94","CICLO:PBO",1,5.66272189349112,5.66272189349113,NA,NA
"95","CICLO:RISAN",0,NA,7.75579601738242,7.75579601738242,NA
"96","CICLO:SECU",0,NA,5.32680687936278,5.32680687936278,NA
"97","CICLO:SONELO",0,NA,4.58779232298165,4.58779232298165,NA
"98","CICLO:TILDRA",0,NA,7.12715135648539,7.12715135648539,NA
"99","CICLO:USK",0,NA,5.85808079804974,5.85808079804974,NA
"100","DEUCRAVA:ETA",0,NA,0.763364428141597,0.763364428141597,NA
"101","DEUCRAVA:FUM",0,NA,0.695310707553446,0.695310707553446,NA
"102","DEUCRAVA:GUSEL",0,NA,0.672576397498548,0.672576397498548,NA
"103","DEUCRAVA:IFX",0,NA,0.515268228080188,0.515268228080188,NA
"104","DEUCRAVA:IXE",0,NA,0.670406782975795,0.670406782975795,NA
"105","DEUCRAVA:MTX",0,NA,7.63280521901211,7.63280521901211,NA
"106","DEUCRAVA:NETA",0,NA,0.772092317036137,0.772092317036137,NA
"107","DEUCRAVA:PBO",1,0.608108108108108,0.608108108108108,NA,NA
"108","DEUCRAVA:RISAN",0,NA,0.832879052108125,0.832879052108125,NA
"109","DEUCRAVA:SECU",0,NA,0.572034882622411,0.572034882622411,NA
"110","DEUCRAVA:SONELO",0,NA,0.492673622755167,0.492673622755167,NA
"111","DEUCRAVA:TILDRA",0,NA,0.765370189303162,0.765370189303162,NA
"112","DEUCRAVA:USK",0,NA,0.629087300815728,0.629087300815728,NA
"113","ETA:FUM",0,NA,0.910850285814565,0.910850285814565,NA
"114","ETA:GUSEL",0,NA,0.881068560053195,0.881068560053195,NA
"115","ETA:IFX",1,1.08695652173913,0.674996383227605,0.6442585266187,0.718409120319253
"116","ETA:IXE",2,0.935929910851136,0.878226386062936,0.821725158207973,0.786440511755567
"117","ETA:MTX",0,NA,9.9989008363857,9.9989008363857,NA
"118","ETA:NETA",0,NA,1.01143344983442,1.01143344983442,NA
"119","ETA:PBO",12,0.735992852408749,0.796615725975785,0.954098965855806,0.55273049796758
"120","ETA:RISAN",0,NA,1.09106348344756,1.09106348344756,NA
"121","ETA:SECU",1,0.54712771890686,0.74936015032168,0.78903349284482,0.600380081518107
"122","ETA:SONELO",0,NA,0.645397669307929,0.645397669307929,NA
"123","ETA:TILDRA",1,1.3888178913738,1.00262752767567,0.524106090945378,0.248122024275728
"124","ETA:USK",1,0.801152737752161,0.824098265028192,0.828641332114417,0.959548999986702
"125","FUM:GUSEL",0,NA,0.967303379902069,0.967303379902069,NA
"126","FUM:IFX",0,NA,0.741061833914848,0.741061833914848,NA
"127","FUM:IXE",0,NA,0.964183027375949,0.964183027375949,NA
"128","FUM:MTX",0,NA,10.9775459173774,10.9775459173774,NA
"129","FUM:NETA",0,NA,1.11042776797277,1.11042776797277,NA
"130","FUM:PBO",2,0.874584702208638,0.874584702208638,NA,NA
"131","FUM:RISAN",0,NA,1.19785161232269,1.19785161232269,NA
"132","FUM:SECU",0,NA,0.822703974508318,0.822703974508318,NA
"133","FUM:SONELO",0,NA,0.708566137991334,0.708566137991334,NA
"134","FUM:TILDRA",0,NA,1.10075996383866,1.10075996383866,NA
"135","FUM:USK",0,NA,0.90475710208644,0.90475710208644,NA
"136","GUSEL:IFX",0,NA,0.766111076743962,0.766111076743962,NA
"137","GUSEL:IXE",1,0.911680911680912,0.996774173862149,1.07922735790392,0.716496819365389
"138","GUSEL:MTX",0,NA,11.3486070094046,11.3486070094046,NA
"139","GUSEL:NETA",0,NA,1.1479622536677,1.1479622536677,NA
"140","GUSEL:PBO",5,1.06615856775199,0.904147261738279,0.855035064540045,0.622687395411989
"141","GUSEL:RISAN",0,NA,1.23834118355294,1.23834118355294,NA
"142","GUSEL:SECU",1,0.85848770118433,0.850512870731011,0.836495402363942,0.946361887453335
"143","GUSEL:SONELO",0,NA,0.732516966975831,0.732516966975831,NA
"144","GUSEL:TILDRA",0,NA,1.13796766010483,1.13796766010483,NA
"145","GUSEL:USK",0,NA,0.935339543813068,0.935339543813068,NA
"146","IFX:IXE",0,NA,1.30108309893981,1.30108309893981,NA
"147","IFX:MTX",0,NA,14.8132657964393,14.8132657964393,NA
"148","IFX:NETA",0,NA,1.49842795452931,1.49842795452931,NA
"149","IFX:PBO",5,1.22384737457858,1.18017776949654,0.725396177843991,0.718409120319254
"150","IFX:RISAN",0,NA,1.61639900680721,1.61639900680721,NA
"151","IFX:SECU",0,NA,1.11016913414927,1.11016913414927,NA
"152","IFX:SONELO",0,NA,0.956149818495107,0.956149818495107,NA
"153","IFX:TILDRA",0,NA,1.48538207402156,1.48538207402156,NA
"154","IFX:USK",0,NA,1.22089286032561,1.22089286032561,NA
"155","IXE:MTX",0,NA,11.3853341177899,11.3853341177899,NA
"156","IXE:NETA",0,NA,1.15167736461284,1.15167736461284,NA
"157","IXE:PBO",5,0.947730911691576,0.907073322571177,0.867808525292333,0.831031639511353
"158","IXE:RISAN",0,NA,1.24234878473507,1.24234878473507,NA
"159","IXE:SECU",0,NA,0.853265356420274,0.853265356420274,NA
"160","IXE:SONELO",0,NA,0.734887586560942,0.734887586560942,NA
"161","IXE:TILDRA",0,NA,1.14165042588896,1.14165042588896,NA
"162","IXE:USK",1,0.732352941176471,0.938366551160687,0.970258677478302,0.714214394989058
"163","MTX:NETA",0,NA,0.101154463514014,0.101154463514014,NA
"164","MTX:PBO",1,0.0796703296703297,0.0796703296703298,NA,NA
"165","MTX:RISAN",0,NA,0.1091183422359,0.1091183422359,NA
"166","MTX:SECU",0,NA,0.0749442526317275,0.0749442526317275,NA
"167","MTX:SONELO",0,NA,0.0645468616869713,0.0645468616869713,NA
"168","MTX:TILDRA",0,NA,0.100273774496007,0.100273774496007,NA
"169","MTX:USK",0,NA,0.082418885686847,0.082418885686847,NA
"170","NETA:PBO",1,0.787610619469027,0.787610619469027,NA,NA
"171","NETA:RISAN",0,NA,1.07872987948557,1.07872987948557,NA
"172","NETA:SECU",0,NA,0.740889230472212,0.740889230472212,NA
"173","NETA:SONELO",0,NA,0.638101962530094,0.638101962530094,NA
"174","NETA:TILDRA",0,NA,0.991293621779866,0.991293621779866,NA
"175","NETA:USK",0,NA,0.814782490299387,0.814782490299387,NA
"176","PBO:RISAN",5,1.83018539719591,1.36962333013336,1.10798261244512,0.268030224800033
"177","PBO:SECU",16,0.890745223884748,0.940679584756853,0.991916640357438,0.745316057770205
"178","PBO:SONELO",1,1.08311688311688,0.810174401864052,0.237692166074487,0.464934718387711
"179","PBO:TILDRA",3,1.02717716427655,1.25860875574298,1.95882887733098,0.451868312598636
"180","PBO:USK",11,1.02283784418333,1.03449911689697,1.04823267961388,0.943462715786382
"181","RISAN:SECU",1,1.49085365853659,0.686816268429992,0.546950381829499,0.0871265575865003
"182","RISAN:SONELO",0,NA,0.591530812917129,0.591530812917129,NA
"183","RISAN:TILDRA",0,NA,0.918945178613762,0.918945178613762,NA
"184","RISAN:USK",3,0.536544694824458,0.755316512311633,1.02783379532314,0.168259493709118
"185","SECU:SONELO",1,0.35429056924384,0.861264999254199,1.29671415414836,0.464934718387711
"186","SECU:TILDRA",0,NA,1.33797817677557,1.33797817677557,NA
"187","SECU:USK",2,1.26444074977648,1.0997359075932,0.997897559452827,0.551354600257693
"188","SONELO:TILDRA",0,NA,1.55350348375259,1.55350348375259,NA
"189","SONELO:USK",0,NA,1.27688447637545,1.27688447637545,NA
"190","TILDRA:USK",0,NA,0.821938598612635,0.821938598612635,NA
