,Treatment,RR,CI_lower,CI_upper,se,WEIGHT,tau2,Reference,k,direct,direct_low,direct_up,indirect,indirect_low,indirect_up,p-value
152,APRE,0.443232597,0.257567616,0.762732278,0.276945106,3.610823872,0,ADA,0,,,,0.443232597,0.257570186,0.762724671,
153,BIME,1.745201598,1.59101359,1.914332245,0.047193259,21.1894671,0,ADA,1,1.659415857,1.418006948,1.941923479,1.792400089,1.598657787,2.009622138,0.437083981
154,BRODA,1.389679454,1.22404448,1.577727784,0.064751321,15.44370042,0,ADA,0,,,,1.389679454,1.224047334,1.577724105,
155,CERTO,0.765561406,0.565799035,1.035852361,0.154270651,6.482114354,0,ADA,0,,,,0.765561406,0.565802178,1.035846607,
156,CICLO,0.40422516,0.075223591,2.172164046,0.857911814,1.165620969,0,ADA,0,,,,0.40422516,0.075225915,2.172096933,
157,DEUCRAVA,0.806744075,0.114124007,5.70288428,0.997816762,1.002188015,0,ADA,0,,,,0.806744075,0.114128108,5.702679334,
158,ETA,0.614165984,0.53877542,0.70010591,0.066819592,14.96567055,0,ADA,0,,,,0.614165984,0.538776716,0.700104225,
159,FUM,0.251115235,0.113425911,0.555947583,0.405490857,2.466146854,0,ADA,0,,,,0.251115235,0.113427568,0.555939465,
160,GUSEL,1.389841,1.288074679,1.499647526,0.038796299,25.7756547,0,ADA,3,1.451680262,1.324045969,1.591618139,1.265580035,1.105770585,1.448485649,0.099794841
161,IFX,2.889893789,1.189903703,7.018623513,0.452728249,2.208830578,0,ADA,0,,,,2.889893788,1.189923105,7.018509073,
162,IXE,1.740770115,1.570351738,1.929682707,0.052565295,19.02395854,0,ADA,0,,,,1.740770114,1.57035471,1.929679053,
163,MTX,0.400321237,0.080544698,1.989666576,0.818089305,1.222360437,0,ADA,0,,,,0.400321237,0.080547071,1.989607955,
164,NETA,0.258893263,0.116913271,0.573294384,0.405603815,2.465460045,0,ADA,0,,,,0.258893263,0.116914979,0.573286009,
165,PBO,0.057680253,0.048473262,0.068636015,0.088725775,11.27068206,0,ADA,8,0.065305881,0.046201997,0.092308956,0.055310774,0.045233045,0.067633777,0.415987925
166,RISAN,1.657505267,1.503323831,1.827499606,0.049813815,20.07475253,0,ADA,1,1.528977483,1.332589259,1.754308109,1.799394466,1.566382808,2.067068426,0.102146682
167,SECU,1.514168391,1.393554953,1.64522103,0.042351208,23.6120771,0,ADA,0,,,,1.51416839,1.393557078,1.64521852,
168,SONELO,1.465547489,1.153199328,1.862496266,0.122290195,8.177270496,0,ADA,0,,,,1.465547489,1.153204406,1.862488064,
169,TILDRA,1.07041356,0.827452181,1.384714689,0.13135155,7.613157183,0,ADA,0,,,,1.070413561,0.827456097,1.384708138,
170,USK,1.089846092,0.993746619,1.195238789,0.047096685,21.23291706,0,ADA,0,,,,1.089846092,0.993748304,1.195236761,
171,ADA,1.306230947,0.965388541,1.767411993,0.154270651,6.482114354,0,CERTO,0,,,,1.306230946,0.965393904,1.767402174,
172,APRE,0.578964134,0.317876512,1.054495868,0.305906913,3.268968291,0,CERTO,0,,,,0.578964135,0.317880015,1.054484251,
173,BIME,2.279636335,1.687878799,3.078859587,0.153338437,6.521522069,0,CERTO,0,,,,2.279636333,1.687888118,3.078842583,
174,BRODA,1.815242309,1.334174099,2.469771105,0.15709516,6.365568476,0,CERTO,0,,,,1.815242308,1.334181647,2.469757132,
175,CICLO,0.528011414,0.096178711,2.898729355,0.868831564,1.150971075,0,CERTO,0,,,,0.528011414,0.096181721,2.898638652,
176,DEUCRAVA,1.053794077,0.146349766,7.587862858,1.007220878,0.99283089,0,CERTO,0,,,,1.053794076,0.146355075,7.587587599,
177,ETA,0.802242614,0.608711462,1.057304244,0.140850361,7.099733297,0,CERTO,1,0.835777126,0.625561369,1.116634497,0.535567918,0.215565681,1.330606031,0.361089391
178,FUM,0.328014491,0.141735348,0.759115547,0.428110314,2.335846551,0,CERTO,0,,,,0.328014491,0.141737533,0.759103844,
179,GUSEL,1.815453326,1.349546653,2.442205885,0.151309428,6.60897349,0,CERTO,0,,,,1.815453325,1.349554006,2.442192577,
180,IFX,3.7748687,1.495579801,9.527832411,0.472373287,2.116969837,0,CERTO,0,,,,3.774868698,1.495605244,9.527670315,
181,IXE,2.273847795,1.694672298,3.050963777,0.149991874,6.667027845,0,CERTO,0,,,,2.273847793,1.69468145,3.050947295,
182,MTX,0.522911988,0.102876335,2.657918817,0.829533433,1.205496922,0,CERTO,0,,,,0.522911988,0.102879409,2.657839412,
