studlab,treat1,treat2,TE,seTE,n1,n2,rob,type_outcome1,TE2,treat1_2,treat2_2,seTE2,type_outcome2,year_publication,r1,r2,z1,z2,male,sample_size,n21,n22,perc of males,age,year
97,APRE,PBO,2.303,1.038,88.0,88.0,1.0,binary,0.693,APRE,PBO,0.853,binary,2012.0,10.0,1.0,4.0,2.0,221.0,352,88.0,88.0,0.627840909,44,2012.0
98,APRE,PBO,,,173.0,87.0,3.0,binary,-1.381,APRE,PBO,0.856,binary,2013.0,,,2.0,4.0,163.0,260,173.0,87.0,0.626923077,46,2013.0
99,APRE,ETA,-0.348,0.344,83.0,83.0,2.0,binary,0.336,APRE,ETA,0.813,binary,2016.0,12.0,17.0,3.0,2.0,157.0,250,83.0,83.0,0.628,45,2016.0
99,APRE,PBO,1.398,0.627,83.0,84.0,2.0,binary,1.958,APRE,PBO,1.504,binary,2016.0,12.0,3.0,3.0,0.0,157.0,250,83.0,84.0,0.628,45,2016.0
99,ETA,PBO,1.747,0.607,83.0,84.0,2.0,binary,1.621,ETA,PBO,1.541,binary,2016.0,17.0,3.0,2.0,0.0,157.0,250,83.0,84.0,0.628,45,2016.0
100,ADA,GUSEL,-0.388,0.064,334.0,329.0,1.0,binary,-0.303,ADA,GUSEL,0.534,binary,2016.0,166.0,241.0,6.0,8.0,608.0,837,334.0,329.0,0.726403823,44,2016.0
100,ADA,PBO,2.85,0.444,334.0,174.0,1.0,binary,0.041,ADA,PBO,0.701,binary,2016.0,166.0,5.0,6.0,3.0,608.0,837,334.0,174.0,0.726403823,44,2016.0
100,GUSEL,PBO,3.238,0.442,329.0,174.0,1.0,binary,0.344,GUSEL,PBO,0.67,binary,2016.0,241.0,5.0,8.0,3.0,608.0,837,329.0,174.0,0.726403823,44,2016.0
101,ADA,GUSEL,-0.403,0.074,248.0,496.0,1.0,binary,0.405,ADA,GUSEL,0.534,binary,2016.0,116.0,347.0,6.0,8.0,692.0,992,248.0,496.0,0.697580645,44,2016.0
101,ADA,PBO,2.962,0.409,248.0,248.0,1.0,binary,0.693,ADA,PBO,0.701,binary,2016.0,116.0,6.0,6.0,3.0,692.0,992,248.0,248.0,0.697580645,44,2016.0
