studlab,name,year,treat,nz,r,z1,age,perc_male,weight,pasi_score,rob,effect_size1,effect_size2
91,Gordon_2016_UNCOVER1,2016,AIL17,865,586,18,46.0,0.68132716,92.0,20.0,1,RR,RR
91,Gordon_2016_UNCOVER1,2016,PBO,431,2,5,46.0,0.68132716,92.0,20.0,1,RR,RR
92,Warren_2016_METOP,2016,CSA,91,16,1,45.0,0.833333333,93.0,15.0,1,RR,RR
92,Warren_2016_METOP,2016,PBO,29,0,4,45.0,0.833333333,93.0,15.0,1,RR,RR
93,Mrowietz_2016_BRIDGE,2016,CSA,566,110,17,44.5,0.642045455,,16.0,3,RR,RR
93,Mrowietz_2016_BRIDGE,2016,PBO,138,6,5,44.5,0.642045455,,16.0,3,RR,RR
96,Krueger_2016,2016,PBO,3,0,1,45.5,0.666666667,,22.0,1,RR,RR
96,Krueger_2016,2016,SM,9,0,0,45.5,0.666666667,,22.0,1,RR,RR
97,Papp_2012b,2012,PBO,88,1,2,44.0,0.627840909,92.0,18.5,1,RR,RR
97,Papp_2012b,2012,SM,264,22,7,44.0,0.627840909,92.0,18.5,1,RR,RR
98,Papp_2013b,2013,PBO,87,0,4,46.0,0.626923077,,19.5,3,RR,RR
98,Papp_2013b,2013,SM,173,0,2,46.0,0.626923077,,19.5,3,RR,RR
99,Reich_2016_LIBERATE,2016,ATA,83,17,2,45.0,0.628,88.5,19.5,2,RR,RR
99,Reich_2016_LIBERATE,2016,PBO,84,3,0,45.0,0.628,88.5,19.5,2,RR,RR
99,Reich_2016_LIBERATE,2016,SM,83,12,3,45.0,0.628,88.5,19.5,2,RR,RR
100,Blauvelt_2016_VOYAGE1,2016,AIL23,329,241,8,44.0,0.726403823,,22.0,1,RR,RR
100,Blauvelt_2016_VOYAGE1,2016,ATA,334,166,6,44.0,0.726403823,,22.0,1,RR,RR
100,Blauvelt_2016_VOYAGE1,2016,PBO,174,5,3,44.0,0.726403823,,22.0,1,RR,RR
101,Reich_2017_VOYAGE-2,2016,AIL23,496,347,8,44.0,0.697580645,,22.0,1,RR,RR
101,Reich_2017_VOYAGE-2,2016,ATA,248,116,6,44.0,0.697580645,,22.0,1,RR,RR
101,Reich_2017_VOYAGE-2,2016,PBO,248,6,3,44.0,0.697580645,,22.0,1,RR,RR
103,Bagel_2018_CLARITY,2018,AIL1223,552,299,9,45.0,0.664246824,92.0,21.0,1,RR,RR
103,Bagel_2018_CLARITY,2018,AIL17,550,421,14,45.0,0.664246824,92.0,21.0,1,RR,RR
105,Elewski_2018,2018,ATA,109,47,8,47.0,0.843317972,90.0,12.5,1,RR,RR
105,Elewski_2018,2018,PBO,108,7,5,47.0,0.843317972,90.0,12.5,1,RR,RR
107,"Gordon UltIMMa-1, 2018 ",2018,AIL1223,102,42,8,48.0,0.713438735,,20.5,1,RR,RR
107,"Gordon UltIMMa-1, 2018 ",2018,AIL23,304,229,7,48.0,0.713438735,,20.5,1,RR,RR
107,"Gordon UltIMMa-1, 2018 ",2018,PBO,102,5,3,48.0,0.713438735,,20.5,1,RR,RR
108,"Gordon UltIMMa-2, 2018 ",2018,AIL1223,99,47,3,47.0,0.684317719,,19.0,1,RR,RR
108,"Gordon UltIMMa-2, 2018 ",2018,AIL23,294,220,6,47.0,0.684317719,,19.0,1,RR,RR
108,"Gordon UltIMMa-2, 2018 ",2018,PBO,98,2,1,47.0,0.684317719,,19.0,1,RR,RR
109,"Gottlieb CIMPASI-1, 2018",2018,ATA,183,72,7,46.0,0.692307692,93.0,20.0,1,RR,RR
109,"Gottlieb CIMPASI-1, 2018",2018,PBO,51,1,1,46.0,0.692307692,93.0,20.0,1,RR,RR
110,"Gottlieb CIMPASI-2, 2018",2018,ATA,178,95,6,45.0,0.559471366,93.0,18.0,1,RR,RR
110,"Gottlieb CIMPASI-2, 2018",2018,PBO,49,2,0,45.0,0.559471366,93.0,18.0,1,RR,RR
112,Jin 2017 ,2017,PBO,6,0,0,48.0,0.611111111,72.0,28.0,3,RR,RR
112,Jin 2017 ,2017,SM,12,0,0,48.0,0.611111111,72.0,28.0,3,RR,RR
115,"Mehta VIP trial, 2018",2018,ATA,33,0,2,43.0,0.697916667,,17.0,2,RR,RR
115,"Mehta VIP trial, 2018",2018,PBO,31,0,0,43.0,0.697916667,,17.0,2,RR,RR
121,"Ferris ORION, 2019 ",2019,AIL23,62,47,2,46.0,0.679487179,,18.0,1,RR,RR
121,"Ferris ORION, 2019 ",2019,PBO,16,0,0,46.0,0.679487179,,18.0,1,RR,RR
123,NCT03000075 ,2017,AIL23,113,85,4,52.0,0.83625731,,,1,RR,RR
123,NCT03000075 ,2017,PBO,58,1,1,52.0,0.83625731,,,1,RR,RR
124,Ohtsuki 2017 ,2017,PBO,84,1,0,50.5,0.795275591,70.0,21.0,1,RR,RR
124,Ohtsuki 2017 ,2017,SM,170,18,4,50.5,0.795275591,70.0,21.0,1,RR,RR
125,Ohtsuki 2018,2018,AIL23,128,90,2,49.0,0.755208333,71.0,26.0,2,RR,RR
125,Ohtsuki 2018,2018,PBO,64,0,2,49.0,0.755208333,71.0,26.0,2,RR,RR
127,"Papp BE ABLE, 2018",2018,AIL17,208,142,1,44.0,0.652,88.0,19.0,1,RR,RR
127,"Papp BE ABLE, 2018",2018,PBO,42,0,1,44.0,0.652,88.0,19.0,1,RR,RR
128,"Papp NCT02054481, 2017 ",2017,AIL1223,40,16,3,46.0,0.656626506,90.0,20.0,3,RR,RR
128,"Papp NCT02054481, 2017 ",2017,AIL23,126,78,11,46.0,0.656626506,90.0,20.0,3,RR,RR
129,"Papp TYK2, 2018",2018,PBO,45,1,1,45.0,0.72659176,88.0,18.0,1,RR,RR
129,"Papp TYK2, 2018",2018,SM,222,69,3,45.0,0.72659176,88.0,18.0,1,RR,RR
130,"Reich TRANSFIGURE, 2016",2018,AIL17,133,84,4,44.0,0.808080808,90.5,20.0,1,RR,RR
130,"Reich TRANSFIGURE, 2016",2018,PBO,65,1,2,44.0,0.808080808,90.5,20.0,1,RR,RR
131,"Reich IXORA-S, 2017 ",2017,AIL1223,166,70,0,43.0,0.668874172,87.5,20.0,1,RR,RR
131,"Reich IXORA-S, 2017 ",2017,AIL17,136,99,2,43.0,0.668874172,87.5,20.0,1,RR,RR
132,"Reich ReSURFACE-1, 2017 ",2017,AIL23,617,216,13,47.0,0.690414508,88.5,20.0,1,RR,RR
132,"Reich ReSURFACE-1, 2017 ",2017,PBO,155,4,1,47.0,0.690414508,88.5,20.0,1,RR,RR
133,"Reich ReSURFACE-2, 2017",2017,AIL23,621,234,10,45.0,0.508256881,88.5,20.0,1,RR,RR
133,"Reich ReSURFACE-2, 2017",2017,ATA,313,67,7,45.0,0.508256881,88.5,20.0,1,RR,RR
133,"Reich ReSURFACE-2, 2017",2017,PBO,156,2,4,45.0,0.508256881,88.5,20.0,1,RR,RR
135,Zhang 2017,2017,PBO,88,3,0,41.0,0.729323308,,,2,RR,RR
135,Zhang 2017,2017,SM,178,85,2,41.0,0.729323308,,,2,RR,RR
136,"Lebwohl CIMPACT, 2018",2018,ATA,502,154,6,46.0,0.68157424,89.0,21.0,2,RR,RR
136,"Lebwohl CIMPACT, 2018",2018,PBO,57,0,5,46.0,0.68157424,89.0,21.0,2,RR,RR
138,EUCTR2015-003623-65-DE ,2019,AIL23,301,218,10,46.0,0.697520661,,,1,RR,RR
138,EUCTR2015-003623-65-DE ,2019,ATA,304,144,9,46.0,0.697520661,,,1,RR,RR
139,NCT02672852 IMMhance,2019,AIL23,407,298,8,49.0,0.702169625,,,1,RR,RR
139,NCT02672852 IMMhance,2019,PBO,100,2,8,49.0,0.702169625,,,1,RR,RR
143,NCT02559622 von Stebut CARIMA 2019,2020,AIL17,102,27,1,45.2,0.675496689,89.0,19.5,3,RR,RR
143,NCT02559622 von Stebut CARIMA 2019,2020,PBO,49,0,2,45.2,0.675496689,89.0,19.5,3,RR,RR
144,Reich 2019,2019,AIL23,153,79,2,47.0,0.741463415,88.0,20.0,1,RR,RR
144,Reich 2019,2019,PBO,52,0,1,47.0,0.741463415,88.0,20.0,1,RR,RR
145,"NCT02187172 Gelfand VIP-U, 2020",2020,AIL1223,22,9,0,42.5,0.697674419,100.5,20.0,2,RR,RR
145,"NCT02187172 Gelfand VIP-U, 2020",2020,PBO,21,0,0,42.5,0.697674419,100.5,20.0,2,RR,RR
147,"NCT02690701 Gelfand VIP-S, 2020",2020,AIL17,46,34,2,47.5,0.67032967,94.5,22.0,1,RR,RR
147,"NCT02690701 Gelfand VIP-S, 2020",2020,PBO,45,0,0,47.5,0.67032967,94.5,22.0,1,RR,RR
148,NCT02748863 ALLURE,2020,AIL17,143,98,1,,0.621495327,,,1,RR,RR
148,NCT02748863 ALLURE,2020,PBO,71,1,2,,0.621495327,,,1,RR,RR
149,NCT03051217,2020,ATA,101,66,0,50.0,0.779527559,,,1,RR,RR
149,NCT03051217,2020,PBO,26,0,1,50.0,0.779527559,,,1,RR,RR
150,NCT03066609,2020,AIL17,408,295,14,40.5,0.758747698,,,1,RR,RR
150,NCT03066609,2020,PBO,135,2,2,40.5,0.758747698,,,1,RR,RR
154,"Van Voorhees STYLE, 2020",2020,PBO,102,0,1,47.0,0.617161716,,18.0,1,RR,RR
154,"Van Voorhees STYLE, 2020",2020,SM,201,0,2,47.0,0.617161716,,18.0,1,RR,RR
155,"Gottlieb IXORA-R, 2019",2020,AIL17,520,378,16,49.0,0.634858812,95.0,19.0,1,RR,RR
155,"Gottlieb IXORA-R, 2019",2020,AIL23,507,285,13,49.0,0.634858812,95.0,19.0,1,RR,RR
156,NCT03055494 ObePso-S,2020,AIL17,54,29,0,44.5,0.509803922,,,1,RR,RR
156,NCT03055494 ObePso-S,2020,PBO,28,0,0,44.5,0.509803922,,,1,RR,RR
157,"Warren IMMerge, 2020",2020,AIL17,163,107,6,47.0,0.651376147,,20.0,2,RR,RR
157,"Warren IMMerge, 2020",2020,AIL23,164,121,9,47.0,0.651376147,,20.0,2,RR,RR
158,"NCT03482011 OASIS-1, 2020",2020,AIL23,423,272,5,46.5,0.703773585,,,1,RR,RR
158,"NCT03482011 OASIS-1, 2020",2020,PBO,107,7,2,46.5,0.703773585,,,1,RR,RR
