unique_id,name,treat,rsae,n,bias,rpasi90m,nm,year_publication,co_intervention,sample_size,age,male,duration_pso,bmi,weight,pasi_score,previous_topical,previous_photo,previous_systemic,previous_bio,_merge
94,VOYAGE-1_2016,PBO,3,174,L,5,174,2016,0,837,44,608,17.5,30,,22,762,454,517,175,Matched (3)
95,VOYAGE-2_2017,PBO,3,248,L,6,248,2016,0,992,44,692,18,30,,22,947,565,639,204,Matched (3)
95,VOYAGE-2_2017,GUSEL,8,496,L,347,496,2016,0,992,44,692,18,30,,22,947,565,639,204,Matched (3)
95,VOYAGE-2_2017,ADA,6,248,L,116,248,2016,0,992,44,692,18,30,,22,947,565,639,204,Matched (3)
97,CLARITY_2018,USK,9,552,L,299,552,2018,0,1102,45,732,17,.,92,21,,,,240,Matched (3)
97,CLARITY_2018,SECU,14,550,L,421,550,2018,0,1102,45,732,17,.,92,21,,,,240,Matched (3)
99,Elewski_2016,ADA,8,109,L,47,109,2016,0,217,47,183,19,29,90,12.5,,,,.,Matched (3)
99,Elewski_2016,PBO,5,108,L,7,108,2016,0,217,47,183,19,29,90,12.5,,,,.,Matched (3)
101,UltIMMa-1_2018 Ê,RISAN,7,304,L,229,304,2018,0,506,48,361,,29.5,,20.5,,,,174,Matched (3)
101,UltIMMa-1_2018 Ê,PBO,3,102,L,5,102,2018,0,506,48,361,,29.5,,20.5,,,,174,Matched (3)
101,UltIMMa-1_2018 Ê,USK,8,100,L,42,100,2018,0,506,48,361,,29.5,,20.5,,,,174,Matched (3)
102,UltIMMa-2_2018 Ê,USK,3,99,L,47,99,2018,0,491,47,336,,31,,19,,,,203,Matched (3)
102,UltIMMa-2_2018 Ê,PBO,1,98,L,2,98,2018,0,491,47,336,,31,,19,,,,203,Matched (3)
102,UltIMMa-2_2018 Ê,RISAN,6,294,L,220,294,2018,0,491,47,336,,31,,19,,,,203,Matched (3)
103,CIMPASI-1_2018,PBO,1,51,L,1,51,2018,0,234,46,162,17,31,93,20,,,,74,Matched (3)
103,CIMPASI-1_2018,CERTO,7,183,L,72,183,2018,0,234,46,162,17,31,93,20,,,,74,Matched (3)
104,CIMPASI-2_2018,CERTO,6,178,L,95,178,2018,0,227,45,127,17,31,93,18,,,,76,Matched (3)
104,CIMPASI-2_2018,PBO,0,49,L,2,49,2018,0,227,45,127,17,31,93,18,,,,76,Matched (3)
108,VIP trial_2018 Ê,PBO,0,31,M,,31,2018,0,96,43,67,13,32,,17,,29,31,29,Matched (3)
108,VIP trial_2018 Ê,ADA,2,33,M,,33,2018,0,96,43,67,13,32,,17,,29,31,29,Matched (3)
114,ORION_2020Ê,PBO,0,16,L,0,16,2019,0,78,46,53,19,31,,18,,,,,Matched (3)
114,ORION_2020Ê,GUSEL,2,62,L,47,62,2019,0,78,46,53,19,31,,18,,,,,Matched (3)
116,SustaIMM_2019,PBO,1,58,L,1,58,2019,0,171,52,143,,26.5,74,26,,,,38,Matched (3)
116,SustaIMM_2019,RISAN,4,113,L,85,113,2019,0,171,52,143,,26.5,74,26,,,,38,Matched (3)
117,Ohtsuki_2017 Ê,APRE,4,170,L,18,170,2017,0,254,50.5,202,13,25,70,21,,,,.,Matched (3)
117,Ohtsuki_2017 Ê,PBO,0,84,L,1,84,2017,0,254,50.5,202,13,25,70,21,,,,.,Matched (3)
118,Ohtsuki_2018,PBO,2,64,M,0,64,2018,0,192,49,145,14,25,71,26,191,96,115,35,Matched (3)
118,Ohtsuki_2018,GUSEL,2,128,M,90,128,2018,0,192,49,145,14,25,71,26,191,96,115,35,Matched (3)
120,BE ABLE 1_2018,PBO,1,42,L,0,42,2018,0,250,44,163,15,,88,19,,122,90,58,Matched (3)
120,BE ABLE 1_2018,BIME,1,208,L,142,208,2018,0,250,44,163,15,,88,19,,122,90,58,Matched (3)
121,Papp_2017b,RISAN,11,126,H,78,126,2017,0,166,46,109,,.,90,20,,,,.,Matched (3)
121,Papp_2017b,USK,3,40,H,16,40,2017,0,166,46,109,,.,90,20,,,,.,Matched (3)
122,Papp_2018,DEUCRAVA,3,222,L,69,222,2018,0,267,45,194,15,29,88,18,,,,115,Matched (3)
122,Papp_2018,PBO,1,45,L,1,45,2018,0,267,45,194,15,29,88,18,,,,115,Matched (3)
123,TRANSFIGURE_2016,PBO,2,65,L,1,65,2018,0,198,44,160,18.5,.,90.5,20,,,,46,Matched (3)
123,TRANSFIGURE_2016,SECU,4,133,L,84,133,2018,0,198,44,160,18.5,.,90.5,20,,,,46,Matched (3)
124,IXORA-S_2017 Ê,IXE,3,136,L,113,136,2017,0,302,43,202,18,29,87.5,20,,202,184,43,Matched (3)
124,IXORA-S_2017 Ê,USK,5,166,L,98,166,2017,0,302,43,202,18,29,87.5,20,,202,184,43,Matched (3)
125,ReSURFACE-1_2017,PBO,1,155,L,4,155,2017,0,772,47,533,,.,88.5,20,,,,177,Matched (3)
125,ReSURFACE-1_2017,TILDRA,13,617,L,216,617,2017,0,772,47,533,,.,88.5,20,,,,177,Matched (3)
126,ReSURFACE-2_2017,PBO,4,156,L,2,156,2017,0,1090,45,554,,.,88.5,20,,,,134,Matched (3)
126,ReSURFACE-2_2017,ETA,7,313,L,67,313,2017,0,1090,45,554,,.,88.5,20,,,,134,Matched (3)
126,ReSURFACE-2_2017,TILDRA,10,621,L,234,621,2017,0,1090,45,554,,.,88.5,20,,,,134,Matched (3)
128,CIMPACT_2018,PBO,5,57,M,0,57,2018,0,559,46,381,18,30,89,21,,,,154,Matched (3)
128,CIMPACT_2018,CERTO,5,332,M,108,332,2018,0,559,46,381,18,30,89,21,,,,154,Matched (3)
128,CIMPACT_2018,ETA,1,170,M,46,170,2018,0,559,46,381,18,30,89,21,,,,154,Matched (3)
130,IMMvent_2019,RISAN,10,301,L,218,301,2019,0,605,46,422,,30.5,90,20,,,,229,Matched (3)
130,IMMvent_2019,ADA,9,304,L,144,304,2019,0,605,46,422,,30.5,90,20,,,,229,Matched (3)
131,IMMhance_2020,RISAN,8,407,L,298,407,2020,0,507,49,356,,30.5,90.5,18,,,233,281,Matched (3)
131,IMMhance_2020,PBO,8,100,L,2,100,2020,0,507,49,356,,30.5,90.5,18,,,233,281,Matched (3)
135,CARIMA_2019,SECU,1,102,H,27,102,2020,0,151,45.200001,102,20,29,89,19.5,,,129,52,Matched (3)
135,CARIMA_2019,PBO,2,49,H,0,49,2020,0,151,45.200001,102,20,29,89,19.5,,,129,52,Matched (3)
136,VIP-U trial_2020,PBO,,21,M,0,21,2020,0,43,42.5,30,18,33.5,100.5,20,,19,8,19,Matched (3)
136,VIP-U trial_2020,USK,,22,M,9,22,2020,0,43,42.5,30,18,33.5,100.5,20,,19,8,19,Matched (3)
138,VIP-S trial_2020,SECU,2,46,L,34,46,2020,0,91,47.5,61,16,32,94.5,22,76,27,27,36,Matched (3)
138,VIP-S trial_2020,PBO,0,45,L,0,45,2020,0,91,47.5,61,16,32,94.5,22,76,27,27,36,Matched (3)
139,ALLURE_2021,PBO,2,71,L,1,71,2021,0,214,43.5,133,17,30.5,91,20.5,,,,.,Matched (3)
139,ALLURE_2021,SECU,1,143,L,98,143,2021,0,214,43.5,133,17,30.5,91,20.5,,,,.,Matched (3)
140,Umezawa_2021,CERTO,2,101,L,66,101,2021,0,127,50,99,13,26.5,73,25,,,96,41,Matched (3)
140,Umezawa_2021,PBO,1,26,L,0,26,2021,0,127,50,99,13,26.5,73,25,,,96,41,Matched (3)
141,Cai_2020,PBO,2,135,L,2,135,2020,0,441,39.5,350,15.5,.,73,27,,,,80,Matched (3)
141,Cai_2020,SECU,14,408,L,295,408,2020,0,441,39.5,350,15.5,.,73,27,,,,80,Matched (3)
142,ECLIPSE_2019,SECU,37,514,L,391,514,2019,0,1048,46,707,18.5,30,,20,989,542,563,305,Matched (3)
142,ECLIPSE_2019,GUSEL,33,534,L,369,534,2019,0,1048,46,707,18.5,30,,20,989,542,563,305,Matched (3)
145,STYLE_2020,PBO,1,102,L,,102,2020,0,303,47,187,15,31,,18,,66,89,86,Matched (3)
145,STYLE_2020,APRE,2,201,L,,201,2020,0,303,47,187,15,31,,18,,66,89,86,Matched (3)
146,IXORA-R_2020,IXE,18,520,L,378,520,2020,0,1027,49,652,17,33,95,19,725,140,310,270,Matched (3)
146,IXORA-R_2020,GUSEL,16,507,L,285,507,2020,0,1027,49,652,17,33,95,19,725,140,310,270,Matched (3)
147,NCT03055494 ObePso-S,SECU,1,54,L,29,54,2020,0,102,44.5,52,,.,,,,,,.,Matched (3)
147,NCT03055494 ObePso-S,PBO,1,28,L,0,28,2020,0,102,44.5,52,,.,,,,,,.,Matched (3)
148,IMMerge_2021,SECU,6,163,M,107,163,2020,0,327,47,213,18,.,,20,,,,120,Matched (3)
148,IMMerge_2021,RISAN,9,164,M,121,164,2020,0,327,47,213,18,.,,20,,,,120,Matched (3)
150,BE READY_2021,BIME,6,349,L,317,349,2021,0,435,44,313,19.5,30,89.5,20.5,,,347,192,Matched (3)
150,BE READY_2021,PBO,2,86,L,1,86,2021,0,435,44,313,19.5,30,89.5,20.5,,,347,192,Matched (3)
151,BE VIVID_2021,BIME,5,321,L,273,321,2021,0,567,46,406,17,29.5,88.5,21.5,,,463,221,Matched (3)
151,BE VIVID_2021,USK,5,163,L,81,163,2021,0,567,46,406,17,29.5,88.5,21.5,,,463,221,Matched (3)
151,BE VIVID_2021,PBO,2,83,L,4,83,2021,0,567,46,406,17,29.5,88.5,21.5,,,463,221,Matched (3)
152,BE RADIANT_2021,SECU,,370,L,275,370,2021,0,743,45,486,18,.,89.5,20,,,539,244,Matched (3)
152,BE RADIANT_2021,BIME,,373,L,319,373,2021,0,743,45,486,18,.,89.5,20,,,539,244,Matched (3)
153,BE SURE_2021,ADA,5,159,L,82,159,2021,0,478,45,328,18,30.5,91,20,412,173,338,153,Matched (3)
153,BE SURE_2021,BIME,5,319,L,273,319,2021,0,478,45,328,18,30.5,91,20,412,173,338,153,Matched (3)
156,NCT03421197,FUM,6,319,L,,319,2021,0,426,50,257,,.,,18,,,,.,Matched (3)
156,NCT03421197,PBO,2,107,L,,107,2021,0,426,50,257,,.,,18,,,,.,Matched (3)
158,NCT03535194,SECU,11,448,L,326,448,2021,0,560,,393,,.,,,,,,.,Matched (3)
158,NCT03535194,PBO,0,112,L,7,112,2021,0,560,,393,,.,,,,,,.,Matched (3)
162,NCT02762994,PBO,,28,L,5,28,2021,0,120,40.5,79,,26,82,,,,,.,Matched (3)
162,NCT02762994,NETA,,92,L,60,92,2021,0,120,40.5,79,,26,82,,,,,.,Matched (3)
163,NCT03364309,IXE,3,350,L,277,350,2021,0,438,40.5,335,,.,,,,,,.,Matched (3)
