unique_id,studlab,rob,treat1,treat2,n1,n2,r1,r2,z1,z2
79,Nakagawa_2016,H,BRODA,PBO,37,38,34,1,1,1
79,Nakagawa_2016,H,BRODA,BRODA,76,37,30,34,2,1
80,Lebwohl_2015_AMAGINE2,M,BRODA,PBO,610,309,301,10,13,8
80,Lebwohl_2015_AMAGINE2,M,BRODA,PBO,612,309,430,10,6,8
80,Lebwohl_2015_AMAGINE2,M,USK,PBO,300,309,141,10,4,8
80,Lebwohl_2015_AMAGINE2,M,BRODA,BRODA,610,612,301,430,13,9
80,Lebwohl_2015_AMAGINE2,M,BRODA,USK,610,300,301,141,13,4
80,Lebwohl_2015_AMAGINE2,M,BRODA,USK,612,300,430,141,6,4
81,Lebwohl_2015_AMAGINE3,M,BRODA,PBO,629,315,327,5,10,3
81,Lebwohl_2015_AMAGINE3,M,BRODA,PBO,624,315,429,5,9,3
81,Lebwohl_2015_AMAGINE3,M,USK,PBO,313,315,149,5,2,3
81,Lebwohl_2015_AMAGINE3,M,BRODA,BRODA,629,624,327,429,10,9
81,Lebwohl_2015_AMAGINE3,M,BRODA,USK,629,313,327,149,10,2
81,Lebwohl_2015_AMAGINE3,M,BRODA,USK,624,313,429,149,9,2
82,Papp_2015a,M,TILDRA,PBO,220,46,71,1,3,0
82,Papp_2015a,M,TILDRA,PBO,89,46,34,1,1,0
82,Papp_2015a,M,TILDRA,TILDRA,220,89,71,34,3,1
83,deVries_2016_PIECE,H,IFX,ETA,25,23,10,1,1,1
84,Cai_2016,L,ADA,PBO,338,87,188,3,4,3
85,Reich_2015,L,SECU,PBO,90,10,42,0,7,0
86,Dogra_2012,M,METHO,METHO,30,30,9,20,.,.
87,Laburte_1994,H,CICLO,CICLO,119,132,.,.,2,17
88,Gottlieb_2011,L,ETA,PBO,141,68,33,1,1,1
89,Strober_2011,L,ETA,PBO,139,72,27,3,1,2
90,Asahina_2016,L,TOFA,TOFA,43,44,16,24,0,1
91,Gordon_2016_UNCOVER1,L,IXE,PBO,432,431,279,2,12,5
91,Gordon_2016_UNCOVER1,L,IXE,PBO,433,431,307,2,6,5
91,Gordon_2016_UNCOVER1,L,IXE,IXE,432,433,279,307,12,6
92,Warren_2016_METOP,L,METHO,PBO,91,29,16,0,1,4
93,Mrowietz_2016_BRIDGE,H,FUM,PBO,566,138,110,6,17,5
94,vanbezooijen_2016,M,FUM,PBO,18,15,.,.,1,1
95,Ortonne_2013,H,ETA,ETA,34,38,.,.,0,2
96,Krueger_2016,L,TOFA,PBO,9,3,.,.,0,1
97,Papp_2012b,L,APRE,PBO,176,88,12,1,3,2
97,Papp_2012b,L,APRE,PBO,88,88,10,1,4,2
97,Papp_2012b,L,APRE,APRE,176,88,12,10,3,4
98,Papp_2013b,H,APRE,PBO,173,87,.,.,2,4
99,Reich_2016_LIBERATE,M,APRE,PBO,83,84,12,3,3,0
99,Reich_2016_LIBERATE,M,ETA,PBO,83,84,17,3,2,0
99,Reich_2016_LIBERATE,M,APRE,ETA,83,83,12,17,3,2
100,Blauvelt_2016_VOYAGE1,L,GUSEL,PBO,329,174,241,5,8,3
100,Blauvelt_2016_VOYAGE1,L,ADA,PBO,334,174,166,5,6,3
100,Blauvelt_2016_VOYAGE1,L,GUSEL,ADA,329,334,241,166,8,6
101,Reich_2017_VOYAGE-2,L,GUSEL,PBO,496,248,347,6,8,3
101,Reich_2017_VOYAGE-2,L,ADA,PBO,248,248,116,6,6,3
101,Reich_2017_VOYAGE-2,L,GUSEL,ADA,496,248,347,116,8,6
102,Gurel_2015,H,ACI,PBO,25,25,25,18,0,0
103,Bagel_2018_CLARITY,L,SECU,USK,550,552,421,299,14,9
104,Blauvelt_2018_ADACCESS,L,ADA,ADA,234,231,88,102,10,3
105,Elewski_2018,L,ADA,PBO,109,108,47,7,8,5
106,Gerdes_2018_EGALITY,L,ETA,ETA,267,264,82,94,.,.
107,"Gordon UltIMMa-1, 2018  ",L,RISAN,PBO,304,102,229,5,7,3
107,"Gordon UltIMMa-1, 2018  ",L,USK,PBO,100,102,42,5,8,3
107,"Gordon UltIMMa-1, 2018  ",L,RISAN,USK,304,102,229,42,7,8
108,"Gordon UltIMMa-2, 2018  ",L,RISAN,PBO,294,98,220,2,6,1
108,"Gordon UltIMMa-2, 2018  ",L,USK,PBO,99,98,47,2,3,1
108,"Gordon UltIMMa-2, 2018  ",L,RISAN,USK,294,99,220,47,6,3
109,"Gottlieb CIMPASI-1, 2018",L,CERTO,PBO,95,51,34,1,2,1
109,"Gottlieb CIMPASI-1, 2018",L,CERTO,PBO,88,51,38,1,5,1
109,"Gottlieb CIMPASI-1, 2018",L,CERTO,CERTO,95,88,34,38,2,5
110,"Gottlieb CIMPASI-2, 2018",L,CERTO,PBO,91,49,47,2,2,0
110,"Gottlieb CIMPASI-2, 2018",L,CERTO,PBO,87,49,48,2,4,0
110,"Gottlieb CIMPASI-2, 2018",L,CERTO,CERTO,91,87,47,48,2,4
111,Ikonomidis 2017  ,H,USK,CICLO,50,50,.,.,.,.
111,Ikonomidis 2017  ,H,ETA,CICLO,50,50,.,.,.,.
111,Ikonomidis 2017  ,H,USK,ETA,50,50,.,.,.,.
112,Jin 2017  ,H,TOFA,PBO,7,6,.,.,0,0
112,Jin 2017  ,H,TOFA,PBO,5,6,.,.,0,0
112,Jin 2017  ,H,TOFA,TOFA,7,5,.,.,0,0
113,Khatri 2016  ,H,IXE,IXE,6,6,5,6,0,0
