"","studlab","treat1","treat2","TE","seTE","event1.x","n1","event2.x","n2","incr.x","allstudies.x","studlab.orig.x","name.x","rob.x","year.x","co_intervention.x","sample_size.x","age.x","male.x","duration_pso.x","bmi.x","weight.x","pasi_score.x","previous_topical.x","previous_photo.x","previous_systemic.x","previous_bio.x","X_merge.x","effect_size1","effect_size2","treat.orig1.x","treat.orig2.x","z11.x","z12.x","n.orig1.x","n.orig2.x","r1.x","r2.x","n.orig.11.x","n.orig.12.x","nz1.x","nz2.x","TE2","seTE2","event1.y","n1.y","event2.y","n2.y","incr.y","allstudies.y","studlab.orig.y","name.y","rob.y","year.y","co_intervention.y","sample_size.y","age.y","male.y","duration_pso.y","bmi.y","weight.y","pasi_score.y","previous_topical.y","previous_photo.y","previous_systemic.y","previous_bio.y","X_merge.y","effect_size1.y","effect_size2.y","treat.orig1.y","treat.orig2.y","z11.y","z12.y","n.orig1.y","n.orig2.y","r1.y","r2.y","n.orig.11.y","n.orig.12.y","n2.1","n2.2","year","rob"
"37","59","PBO","USK",NA,NA,NA,162,NA,160,0,FALSE,59,"LOTUS_2013","M",2013,0,322,40,248,14,".",70,23,309,120,132,"30","Matched (3)","RR","RR","PBO","USK",1,1,162,160,NA,NA,162,160,162,160,-0.0124225199985572,1.40981458372859,1,162,1,160,0,FALSE,59,"LOTUS_2013","M",2013,0,322,40,248,14,".",70,23,309,120,132,"30","Matched (3)","RR","RR","PBO","USK",1,1,162,160,NA,NA,162,160,162,160,2013,"M"
"38","66","APRE","PBO",1.79538923727863,0.728549192723943,24,275,2,138,0,FALSE,66,"ESTEEM-2_2015","L",2015,0,413,45.5,276,18.5,"31",91,19.5,NA,NA,159,"136","Matched (3)","RR","RR","APRE","PBO",5,3,275,138,24,2,275,138,275,138,-0.178691788743376,0.722807438316302,5,275,3,138,0,FALSE,66,"ESTEEM-2_2015","L",2015,0,413,45.5,276,18.5,"31",91,19.5,NA,NA,159,"136","Matched (3)","RR","RR","APRE","PBO",5,3,275,138,24,2,275,138,275,138,2015,"L"
"39","67","PBO","ETA",-3.54715129428524,0.998510795897475,1,108,108,336,0,FALSE,67,"Bachelez_2015","L",2015,0,444,44,304,17.5,".",81,19.5,NA,318,NA,"49","Matched (3)","RR","RR","PBO","ETA",2,7,108,336,1,108,108,336,108,336,-0.117783035656384,0.794116926605707,2,108,7,336,0,FALSE,67,"Bachelez_2015","L",2015,0,444,44,304,17.5,".",81,19.5,NA,318,NA,"49","Matched (3)","RR","RR","PBO","ETA",2,7,108,336,1,108,108,336,108,336,2015,"L"
"40","68","PBO","ADA",-2.92090848175625,1.0027792584534,1,42,19,43,0,FALSE,68,"Gordon_2015_X-PLORE","H",2015,0,293,47,207,19,"31",92,21,283,154,147,"126","Matched (3)","RR","RR","PBO","ADA",1,1,42,43,1,19,42,43,42,43,0.023530497410194,1.39747438696993,1,42,1,43,0,FALSE,68,"Gordon_2015_X-PLORE","H",2015,0,293,47,207,19,"31",92,21,283,154,147,"126","Matched (3)","RR","RR","PBO","ADA",1,1,42,43,1,19,42,43,42,43,2015,"H"
"41","68","PBO","GUSEL",-2.97484251708543,0.990803745568869,1,42,97,208,0,FALSE,68,"Gordon_2015_X-PLORE","H",2015,0,293,47,207,19,"31",92,21,283,154,147,"126","Matched (3)","RR","RR","PBO","GUSEL",1,3,42,208,1,97,42,208,42,208,0.50125617274984,1.14224170700256,1,42,3,208,0,FALSE,68,"Gordon_2015_X-PLORE","H",2015,0,293,47,207,19,"31",92,21,283,154,147,"126","Matched (3)","RR","RR","PBO","GUSEL",1,3,42,208,1,97,42,208,42,208,2015,"H"
"42","68","ADA","GUSEL",-0.0539340353291868,0.186754788524159,19,43,97,208,0,FALSE,68,"Gordon_2015_X-PLORE","H",2015,0,293,47,207,19,"31",92,21,283,154,147,"126","Matched (3)","RR","RR","ADA","GUSEL",1,3,43,208,19,97,43,208,43,208,0.477725675339646,1.14248405987661,1,43,3,208,0,FALSE,68,"Gordon_2015_X-PLORE","H",2015,0,293,47,207,19,"31",92,21,283,154,147,"126","Matched (3)","RR","RR","ADA","GUSEL",1,3,43,208,19,97,43,208,43,208,2015,"H"
"43","69","ETA","IXE",-1.24791868319831,0.11356590371365,67,358,455,698,0,FALSE,69,"UNCOVER-2_2015","L",2015,0,1224,45,821,19,"31",91,21,1007,570,606,"288","Matched (3)","RR","RR","ETA","IXE",8,13,358,698,67,455,358,698,358,698,0.182178300579971,0.44463143847151,8,358,13,698,0,FALSE,69,"UNCOVER-2_2015","L",2015,0,1224,45,821,19,"31",91,21,1007,570,606,"288","Matched (3)","RR","RR","ETA","IXE",8,13,358,698,67,455,358,698,358,698,2015,"L"
"44","69","ETA","PBO",3.44812361239352,1.00308508915872,67,358,1,168,0,FALSE,69,"UNCOVER-2_2015","L",2015,0,1224,45,821,19,"31",91,21,1007,570,606,"288","Matched (3)","RR","RR","ETA","PBO",8,2,358,168,67,1,358,168,358,168,0.629725354122449,0.78501867682128,8,358,2,168,0,FALSE,69,"UNCOVER-2_2015","L",2015,0,1224,45,821,19,"31",91,21,1007,570,606,"288","Matched (3)","RR","RR","ETA","PBO",8,2,358,168,67,1,358,168,358,168,2015,"L"
"45","69","IXE","PBO",4.69604229559184,0.997403006055714,455,698,1,168,0,FALSE,69,"UNCOVER-2_2015","L",2015,0,1224,45,821,19,"31",91,21,1007,570,606,"288","Matched (3)","RR","RR","IXE","PBO",13,2,698,168,455,1,698,168,698,168,0.447547053542478,0.754677435209407,13,698,2,168,0,FALSE,69,"UNCOVER-2_2015","L",2015,0,1224,45,821,19,"31",91,21,1007,570,606,"288","Matched (3)","RR","RR","IXE","PBO",13,2,698,168,455,1,698,168,698,168,2015,"L"
"46","70","ETA","IXE",-0.954988021827839,0.0907457382808815,98,382,514,771,0,FALSE,70,"UNCOVER-3_2015","L",2015,0,1346,46,918,18,"30.5",91,21,1063,522,615,"209","Matched (3)","RR","RR","ETA","IXE",5,15,382,771,98,514,382,771,382,771,-0.396344523711355,0.512593258596255,5,382,15,771,0,FALSE,70,"UNCOVER-3_2015","L",2015,0,1346,46,918,18,"30.5",91,21,1063,522,615,"209","Matched (3)","RR","RR","ETA","IXE",5,15,382,771,98,514,382,771,382,771,2015,"L"
