id,unique_id,studlab,naif,rob,treat,treatdose,n1,n_completers,r1,rPASI75,rPGA,rAE,rSAE,r2,n2,age,male
306,152,NCT03255382,1,M,RISAN,RIZAN_AMM,60,60,50,59,56,45,1,1,60,43.5,365
307,153,NCT03331835,1,H,BRODA,BRODA_AMM,105,105,69,85,68,66,3,3,105,52,20
307,153,NCT03331835,1,H,FUM,FUM,105,105,23,40,21,90,1,1,105,.,394
308,154,"Van Voorhees STYLE, 2020",,L,APRE,APRE_AMM,201,201,,,87,135,2,2,201,45.2,102
308,154,"Van Voorhees STYLE, 2020",,L,PBO,PBO,102,102,,,14,52,1,1,102,47,152
309,155,"Gottlieb IXORA-R, 2019",,L,GUSEL,GUSEL_AMM,507,507,285,,285,277,13,,507,42.5,30
309,155,"Gottlieb IXORA-R, 2019",,L,IXE,IXE_AMM,520,520,378,,389,293,16,,520,43,355
310,156,NCT03055494 ObePso-S,,L,PBO,PBO,28,28,0,,,,,,28,47.5,61
310,156,NCT03055494 ObePso-S,,L,SECU,SECU_AMM,54,54,29,,,,,,54,.,133
311,157,"Warren IMMerge, 2020",,M,RISAN,RIZAN_AMM,164,164,121,150,147,117,9,,164,50,99
311,157,"Warren IMMerge, 2020",,M,SECU,SECU_AMM,163,163,107,130,119,116,6,,163,40.5,412
312,158,"NCT03482011 OASIS-1, 2020",,L,MIRI,MIRI,423,423,272,349,293,199,5,5,423,46,707
312,158,"NCT03482011 OASIS-1, 2020",,L,PBO,PBO,107,107,7,10,7,51,2,2,107,42.5,71
