studlab,id,treat1,treat2,TE1,seTE1,pasi90,n11,sae,n21,co_intervention.x,sample_size.x,age1,age2,male1,male2,duration_pso.x,bmi1,bmi2,weight1,weight2,previous_topical,previous_photo,previous_systemic,previous_bio,treat1_class,treat2_class,TE2,seTE2,year,bias,rob,n12,n22,outcome1_direction,outcome2_direction
Ohtsuki_2017 Ê,117,APRE,PBO,2.18539012,1.018709203,18,170,1,84,0,254,50.5,50.5,202,202,13,25,25,70,70,NA,NA,NA,.,SM,PBO,1.495240815,1.48476355,2017,L,1,170,84,beneficial,harmful
Ohtsuki_2018,118,PBO,GUSEL,-4.509233351,1.409880756,0,64,90,128,0,192,49,49,145,145,14,25,25,71,71,191,96,115,35,PBO,AIL23,0.693147181,0.988211769,2018,M,2,64,128,beneficial,harmful
BE ABLE 1_2018,120,PBO,BIME,-4.062054215,1.406659863,0,42,142,208,0,250,44,44,163,163,15,,,88,88,NA,122,90,58,PBO,AIL17,1.599868461,1.404059395,2018,L,1,42,208,beneficial,harmful
Papp_2017b,121,RISAN,USK,0.436717652,0.20587376,78,126,16,40,0,166,46,46,109,109,NA,.,.,90,90,NA,NA,NA,.,AIL23,AIL1223,0.151880531,0.625544496,2017,H,3,126,40,beneficial,harmful
Papp_2018,122,DEUCRAVA,PBO,2.638091612,0.993864189,69,222,1,45,0,267,45,45,194,194,15,29,29,88,88,NA,NA,NA,115,SM,PBO,-0.497402603,1.143068942,2018,L,1,222,45,beneficial,harmful
TRANSFIGURE_2016,123,PBO,SECU,-3.714854941,0.99448547,1,65,84,133,0,198,44,44,160,160,18.5,.,.,90.5,90.5,NA,NA,NA,46,PBO,AIL17,0.022814678,0.852699588,2018,L,1,65,133,beneficial,harmful
IXORA-S_2017 Ê,124,IXE,USK,0.341753243,0.075343225,113,136,98,166,0,302,43,43,202,202,18,29,29,87.5,87.5,NA,202,184,43,AIL17,AIL1223,-0.311492721,0.721079951,2017,L,1,136,166,beneficial,harmful
ReSURFACE-1_2017,125,PBO,TILDRA,-2.60754014,0.496545336,4,155,216,617,0,772,47,47,533,533,NA,.,.,88.5,88.5,NA,NA,NA,177,PBO,AIL23,-1.18350545,1.033852368,2017,L,1,155,617,beneficial,harmful
ReSURFACE-2_2017,126,PBO,ETA,-2.815198256,0.710858796,2,156,67,313,0,1090,45,45,554,554,NA,.,.,88.5,88.5,NA,NA,NA,134,PBO,ATA,0.136731395,0.6190735,2017,L,1,156,313,beneficial,harmful
ReSURFACE-2_2017,126,PBO,TILDRA,-3.38069886,0.704452228,2,156,234,621,0,1090,45,45,554,554,NA,.,.,88.5,88.5,NA,NA,NA,134,PBO,AIL23,0.465184343,0.58479008,2017,L,1,156,621,beneficial,harmful
ReSURFACE-2_2017,126,ETA,TILDRA,-0.565500605,0.119973677,67,313,234,621,0,1090,45,45,554,554,NA,.,.,88.5,88.5,NA,NA,NA,134,ATA,AIL23,0.328452947,0.487905676,2017,L,1,313,621,beneficial,harmful
CIMPACT_2018,128,PBO,CERTO,-3.625042441,1.410254504,0,57,108,332,0,559,46,46,381,381,18,30,30,89,89,NA,NA,NA,154,PBO,ATA,1.762083701,0.615990334,2018,M,2,57,332,beneficial,harmful
CIMPACT_2018,128,PBO,ETA,-3.445649144,1.413594344,0,57,46,170,0,559,46,46,381,381,18,30,30,89,89,NA,NA,NA,154,PBO,ATA,2.702185082,1.084699861,2018,M,2,57,170,beneficial,harmful
CIMPACT_2018,128,CERTO,ETA,0.179393297,0.147815239,108,332,46,170,0,559,46,46,381,381,18,30,30,89,89,NA,NA,NA,154,ATA,ATA,0.940101381,1.091377844,2018,M,2,332,170,beneficial,harmful
IMMvent_2019,130,RISAN,ADA,0.4245992,0.070141768,218,301,144,304,0,605,46,46,422,422,NA,30.5,30.5,90,90,NA,NA,NA,229,AIL23,ATA,0.115277952,0.452216075,2019,L,1,301,304,beneficial,harmful
IMMhance_2020,131,RISAN,PBO,3.600303306,0.700641636,298,407,2,100,0,507,49,49,356,356,NA,30.5,30.5,90.5,90.5,NA,NA,233,281,AIL23,PBO,-1.403642999,0.48738383,2020,L,1,407,100,beneficial,harmful
CARIMA_2019,135,SECU,PBO,3.279443056,1.416476445,27,102,0,49,0,151,45.200001,45.200001,102,102,20,29,29,89,89,NA,NA,129,52,AIL17,PBO,-1.426299696,1.2123481,2020,H,3,102,49,beneficial,harmful
