studlab,treat1,treat2,TE,seTE,n1,n2,rob,type_outcome1,TE2,treat1_2,treat2_2,seTE2,type_outcome2,year_publication,r1,r2,z1,z2,male,sample_size,n2.1,n2.2,perc of males,age,treat1_class,treat2_class,year
134,FUM,SECU,-2.867898902,0.573913848,95,105,3,binary,0.100083459,FUM,SECU,0.692784147,binary,2017,8,72,4,4,124,202,95,105,0.613861386,43,1,1,2017
135,PBO,TOFA,0.230084581,0.164503583,88,90,2,binary,,PBO,TOFA,,binary,2017,3,54,0,0,194,266,88,90,0.729323308,41,1,2,2017
136,CERTO,ETA,3.675733725,1.412101218,167,170,2,binary,1.404098986,CERTO,ETA,1.112712732,binary,2018,57,46,4,1,381,559,167,170,0.68157424,46,1,1,2018
136,CERTO,PBO,3.445649144,1.413594344,167,57,2,binary,-1.298086096,CERTO,PBO,0.653045264,binary,2018,57,0,4,5,381,559,167,57,0.68157424,46,1,1,2018
136,ETA,PBO,,,170,57,2,binary,-2.702185082,ETA,PBO,1.084699861,binary,2018,46,0,1,5,381,559,170,57,0.68157424,46,1,1,2018
138,ADA,RISAN,-3.600303306,0.700641636,304,301,1,binary,-0.115277952,ADA,RISAN,0.452216075,binary,2019,144,218,9,10,422,605,304,301,0.697520661,46,1,1,2019
139,PBO,RISAN,-0.405465108,0.380058475,100,407,1,binary,1.403642999,PBO,RISAN,0.48738383,binary,2019,2,298,8,8,356,507,100,407,0.702169625,49,1,1,2019
141,ETA,MTX,-4.027742057,1.412636917,15,15,3,binary,,ETA,MTX,,binary,2019,6,9,0,0,20,30,15,15,0.666666667,52,1,1,2019
143,PBO,SECU,3.996016805,1.409615671,49,48,3,binary,0.672527893,PBO,SECU,1.207790753,binary,2020,0,27,2,1,102,151,49,48,0.675496689,45.2,1,1,2020
144,MIRI,PBO,-2.801338136,1.417581272,153,52,1,binary,-0.386047022,MIRI,PBO,1.214180087,binary,2019,79,0,2,1,152,205,153,52,0.741463415,47,2,1,2019
145,PBO,USK,0.415209768,0.091729162,19,22,2,binary,,PBO,USK,,binary,2020,0,9,0,0,30,43,19,22,0.697674419,42.5,1,1,2020
146,MTX,PBO,-4.212366518,1.409078461,226,229,3,binary,-0.679960176,MTX,PBO,0.700862618,binary,2020,145,97,3,6,355,466,226,229,0.761802575,43,1,1,2020
147,PBO,SECU,-3.884802725,0.994548424,45,46,1,binary,-1.587697926,PBO,SECU,1.535094981,binary,2020,0,34,0,2,61,91,45,46,0.67032967,47.5,1,1,2020
