studlab,name,treat,r,n ,rob,z1,nz,year,funding,co_intervention,sample_size,age,male,duration_pso,weight,pasi_score,previous_topical,previous_photo,previous_systemic
117,Ohtsuki_2017 Ã,PBO,1,84,L,0,84,2017,1,0,254,50.5,202,13,70,21,,,
,,,,,,,,,,,,,,,,,,,
117,Ohtsuki_2017 Ã,APRE,18,170,L,4,170,2017,1,0,254,50.5,202,13,70,21,,,
,,,,,,,,,,,,,,,,,,,
118,Ohtsuki_2018,GUSEL,90,128,M,2,128,2018,1,0,192,49,145,14,71,26,191,96,115
,,,,,,,,,,,,,,,,,,,
118,Ohtsuki_2018,PBO,0,64,M,2,64,2018,1,0,192,49,145,14,71,26,191,96,115
,,,,,,,,,,,,,,,,,,,
120,BE ABLE 1_2018,BIME,142,208,L,1,208,2018,1,0,250,44,163,15,88,19,,122,90
,,,,,,,,,,,,,,,,,,,
120,BE ABLE 1_2018,PBO,0,42,L,1,42,2018,1,0,250,44,163,15,88,19,,122,90
,,,,,,,,,,,,,,,,,,,
121,Papp_2017b,RISAN,78,126,H,11,126,2017,1,0,166,46,109,,90,20,,,
,,,,,,,,,,,,,,,,,,,
121,Papp_2017b,USK,16,40,H,3,40,2017,1,0,166,46,109,,90,20,,,
,,,,,,,,,,,,,,,,,,,
122,Papp_2018,DEUCRAVA,69,222,L,3,222,2018,1,0,267,45,194,15,88,18,,,
,,,,,,,,,,,,,,,,,,,
122,Papp_2018,PBO,1,45,L,1,45,2018,1,0,267,45,194,15,88,18,,,
,,,,,,,,,,,,,,,,,,,
123,TRANSFIGURE_2016,PBO,1,65,L,2,65,2018,1,0,198,44,160,18.5,90.5,20,,,
,,,,,,,,,,,,,,,,,,,
123,TRANSFIGURE_2016,SECU,84,133,L,4,133,2018,1,0,198,44,160,18.5,90.5,20,,,
,,,,,,,,,,,,,,,,,,,
124,IXORA-S_2017 Ã,USK,98,166,L,5,166,2017,1,0,302,43,202,18,87.5,20,,202,184
,,,,,,,,,,,,,,,,,,,
124,IXORA-S_2017 Ã,IXE,113,136,L,3,136,2017,1,0,302,43,202,18,87.5,20,,202,184
