unique_id,name,year_publication,treatclass,nMC,rPASI90MC,rSAEMC,age,perc_male,weight,pasi_score,bias
121,"Ferris ORION, 2019  ",2019,AIL23,62,47,2,46,0.679487179,,18,L
121,"Ferris ORION, 2019  ",2019,PBO,16,0,0,46,0.679487179,,18,L
123,NCT03000075  ,2017,AIL23,113,85,4,52,0.83625731,.,.,L
123,NCT03000075  ,2017,PBO,58,1,1,52,0.83625731,.,.,L
124,Ohtsuki 2017  ,2017,PBO,84,1,0,50.5,0.795275591,70,21,L
124,Ohtsuki 2017  ,2017,SM,170,18,4,50.5,0.795275591,70,21,L
125,Ohtsuki 2018,2018,AIL23,128,90,2,49,0.755208333,71,26,M
125,Ohtsuki 2018,2018,PBO,64,0,2,49,0.755208333,71,26,M
127,"Papp BE ABLE, 2018",2018,AIL17,208,142,1,44,0.652,88,19,L
127,"Papp BE ABLE, 2018",2018,PBO,42,0,1,44,0.652,88,19,L
128,"Papp NCT02054481, 2017  ",2017,AIL1223,40,16,3,46,0.656626506,90,20,H
128,"Papp NCT02054481, 2017  ",2017,AIL23,126,78,11,46,0.656626506,90,20,H
129,"Papp TYK2, 2018",2018,PBO,45,1,1,45,0.72659176,88,18,L
129,"Papp TYK2, 2018",2018,SM,222,69,3,45,0.72659176,88,18,L
130,"Reich TRANSFIGURE, 2016",2018,AIL17,133,84,4,44,0.808080808,90.5,20,L
130,"Reich TRANSFIGURE, 2016",2018,PBO,65,1,2,44,0.808080808,90.5,20,L
131,"Reich IXORA-S, 2017  ",2017,AIL1223,166,70,0,43,0.668874172,87.5,20,L
131,"Reich IXORA-S, 2017  ",2017,AIL17,136,99,2,43,0.668874172,87.5,20,L
132,"Reich ReSURFACE-1, 2017  ",2017,AIL23,617,216,13,47,0.690414508,88.5,20,L
132,"Reich ReSURFACE-1, 2017  ",2017,PBO,155,4,1,47,0.690414508,88.5,20,L
133,"Reich ReSURFACE-2, 2017",2017,AIL23,621,234,10,45,0.508256881,88.5,20,L
133,"Reich ReSURFACE-2, 2017",2017,ATA,313,67,7,45,0.508256881,88.5,20,L
133,"Reich ReSURFACE-2, 2017",2017,PBO,156,2,4,45,0.508256881,88.5,20,L
135,Zhang 2017,2017,PBO,88,3,0,41,0.729323308,.,.,M
135,Zhang 2017,2017,SM,178,85,2,41,0.729323308,.,.,M
136,"Lebwohl CIMPACT, 2018",2018,ATA,502,154,6,46,0.68157424,89,21,M
136,"Lebwohl CIMPACT, 2018",2018,PBO,57,0,5,46,0.68157424,89,21,M
138,EUCTR2015-003623-65-DE  ,2019,AIL23,301,218,10,46,0.697520661,.,.,L
138,EUCTR2015-003623-65-DE  ,2019,ATA,304,144,9,46,0.697520661,.,.,L
139,NCT02672852 IMMhance,2019,AIL23,407,298,8,49,0.702169625,.,.,L
139,NCT02672852 IMMhance,2019,PBO,100,2,8,49,0.702169625,.,.,L
143,NCT02559622 von Stebut CARIMA 2019,2020,AIL17,102,27,1,45.2,0.675496689,89,19.5,H
143,NCT02559622 von Stebut CARIMA 2019,2020,PBO,49,0,2,45.2,0.675496689,89,19.5,H
144,Reich 2019,2019,AIL23,153,79,2,47,0.741463415,88,20,L
144,Reich 2019,2019,PBO,52,0,1,47,0.741463415,88,20,L
145,"NCT02187172 Gelfand VIP-U, 2020",2020,AIL1223,22,9,0,42.5,0.697674419,100.5,20,M
145,"NCT02187172 Gelfand VIP-U, 2020",2020,PBO,21,0,0,42.5,0.697674419,100.5,20,M
147,"NCT02690701 Gelfand VIP-S, 2020",2020,AIL17,46,34,2,47.5,0.67032967,94.5,22,L
147,"NCT02690701 Gelfand VIP-S, 2020",2020,PBO,45,0,0,47.5,0.67032967,94.5,22,L
148,NCT02748863 ALLURE,2020,AIL17,143,98,1,.,0.621495327,.,.,L
148,NCT02748863 ALLURE,2020,PBO,71,1,2,.,0.621495327,.,.,L
149,NCT03051217,2020,ATA,101,66,0,50,0.779527559,.,.,L
149,NCT03051217,2020,PBO,26,0,1,50,0.779527559,.,.,L
150,NCT03066609,2020,AIL17,408,295,14,40.5,0.758747698,.,.,L
150,NCT03066609,2020,PBO,135,2,2,40.5,0.758747698,.,.,L
154,"Van Voorhees STYLE, 2020",2020,PBO,102,0,1,47,0.617161716,.,18,L
154,"Van Voorhees STYLE, 2020",2020,SM,201,0,2,47,0.617161716,.,18,L
155,"Gottlieb IXORA-R, 2019",2020,AIL17,520,378,16,49,0.634858812,95,19,L
155,"Gottlieb IXORA-R, 2019",2020,AIL23,507,285,13,49,0.634858812,95,19,L
156,NCT03055494 ObePso-S,2020,AIL17,54,29,0,44.5,0.509803922,.,.,L
156,NCT03055494 ObePso-S,2020,PBO,28,0,0,44.5,0.509803922,.,.,L
157,"Warren IMMerge, 2020",2020,AIL17,163,107,6,47,0.651376147,.,20,M
157,"Warren IMMerge, 2020",2020,AIL23,164,121,9,47,0.651376147,.,20,M
158,"NCT03482011 OASIS-1, 2020",2020,AIL23,423,272,5,46.5,0.703773585,.,.,L
158,"NCT03482011 OASIS-1, 2020",2020,PBO,107,7,2,46.5,0.703773585,.,.,L
