,Treatment,OR,CI_lower,CI_upper,WEIGHT,tau2,Reference
61,nefa,0.9156834148,0.5913510591000001,1.4178990688,4.4824503572,0.0319122128,dulo
62,paro,1.0429640017,0.8287476741,1.3125513868,8.5252157398,0.0319122128,dulo
63,rebo,0.7377140658,0.5098007866,1.0675190334,5.3039448604,0.0319122128,dulo
64,sert,0.9719353821000001,0.7472314258,1.2642112662,7.4548984676,0.0319122128,dulo
65,traz,0.7755514804,0.5533743392,1.0869316775,5.8067249311,0.0319122128,dulo
66,venl,1.0421243139,0.8263432586,1.3142517646,8.4480477668,0.0319122128,dulo
67,vort,1.4532982601,0.8223281994,2.5684098324,3.4419096027,0.0319122128,dulo
68,agom,0.9028118369,0.7097235356,1.1484319907,8.1449925554,0.0319122128,esci
69,amit,0.9279722389,0.7385235999,1.1660189008,8.5833617198,0.0319122128,esci
70,bupr,1.023812385,0.6943864015,1.5095223603,5.0481637186,0.0319122128,esci
71,cita,0.7948330739,0.6456807414,0.9784396141,9.4309232024,0.0319122128,esci
72,clom,0.7474024299,0.5745071964,0.9723296691000001,7.4498896702,0.0319122128,esci
73,dulo,0.8537364411,0.6670906308,1.092604029,7.9449813517,0.0319122128,esci
74,fluo,0.7491470337,0.6189303495,0.9067599909,10.2648689412,0.0319122128,esci
75,fluv,0.7429619217,0.5668646661,0.973764022,7.2451927717,0.0319122128,esci
76,miln,0.8389247915,0.6296334967,1.117784885,6.8296689608,0.0319122128,esci
77,mirt,0.9530909517,0.7466322604000001,1.2166395835000001,8.0282607515,0.0319122128,esci
78,nefa,0.7817522997,0.5162551843000001,1.1837879343,4.7236114707,0.0319122128,esci
79,paro,0.8904163751,0.7351450856,1.0784827873,10.2285071796,0.0319122128,esci
80,rebo,0.6298133811000001,0.44916352070000004,0.8831191243000001,5.7981896593,0.0319122128,esci
81,sert,0.8297766541,0.6673821109,1.0316867721,8.9993374353,0.0319122128,esci
82,traz,0.6621165608,0.48593305600000003,0.9021784681,6.33544068,0.0319122128,esci
83,venl,0.889699503,0.7283267014,1.0868271122,9.7934356838,0.0319122128,esci
84,vort,1.2407336844,0.7106865713,2.1661026644,3.5174196443,0.0319122128,esci
85,agom,0.9728866868,0.7594741743000001,1.246268191,7.9146733623,0.0319122128,amit
86,bupr,1.1032791092,0.7561767117,1.6097094421,5.188384164,0.0319122128,amit
87,cita,0.8565267802000001,0.6741523296,1.0882379146,8.1861260877,0.0319122128,amit
88,clom,0.8054146434,0.6299103045000001,1.0298176474,7.9746181124,0.0319122128,amit
89,dulo,0.9200021352000001,0.7054994539,1.1997230104,7.3831319811,0.0319122128,amit
90,esci,1.0776184439,0.8576190312,1.35405287,8.5833617198,0.0319122128,amit
91,fluo,0.8072946607,0.6823935524,0.9550568977,11.6609621739,0.0319122128,amit
