studlab,name,year_publication,treat,r,n,weight,pasi_score,bias,indirectness,age,perc_male
100,Blauvelt_2016_VOYAGE1,2016,PBO,5,174,.,22,L,1,44,0.726403823
101,Reich_2017_VOYAGE-2,2016,AIL23,347,496,.,22,L,1,44,0.697580645
101,Reich_2017_VOYAGE-2,2016,ATA,116,248,.,22,L,1,44,0.697580645
101,Reich_2017_VOYAGE-2,2016,PBO,6,248,.,22,L,1,44,0.697580645
103,Bagel_2018_CLARITY,2018,AIL1223,299,552,92,21,L,1,45,0.664246824
103,Bagel_2018_CLARITY,2018,AIL17,421,550,92,21,L,1,45,0.664246824
105,Elewski_2018,2018,ATA,47,109,90,12.5,L,2,47,0.843317972
105,Elewski_2018,2018,PBO,7,108,90,12.5,L,2,47,0.843317972
107,"Gordon UltIMMa-1, 2018  ",2018,AIL1223,42,102,.,20.5,L,1,48,0.713438735
107,"Gordon UltIMMa-1, 2018  ",2018,AIL23,229,304,.,20.5,L,1,48,0.713438735
107,"Gordon UltIMMa-1, 2018  ",2018,PBO,5,102,.,20.5,L,1,48,0.713438735
108,"Gordon UltIMMa-2, 2018  ",2018,AIL1223,47,99,.,19,L,1,47,0.684317719
108,"Gordon UltIMMa-2, 2018  ",2018,AIL23,220,294,.,19,L,1,47,0.684317719
108,"Gordon UltIMMa-2, 2018  ",2018,PBO,2,98,.,19,L,1,47,0.684317719
109,"Gottlieb CIMPASI-1, 2018",2018,ATA,72,183,93,20,L,2,46,0.692307692
109,"Gottlieb CIMPASI-1, 2018",2018,PBO,1,51,93,20,L,2,46,0.692307692
110,"Gottlieb CIMPASI-2, 2018",2018,ATA,95,178,93,18,L,2,45,0.559471366
110,"Gottlieb CIMPASI-2, 2018",2018,PBO,2,49,93,18,L,2,45,0.559471366
112,Jin 2017  ,2017,PBO,0,6,72,28,H,2,48,0.611111111
112,Jin 2017  ,2017,SM,0,12,72,28,H,2,48,0.611111111
115,"Mehta VIP trial, 2018",2018,ATA,0,33,.,17,M,2,43,0.697916667
115,"Mehta VIP trial, 2018",2018,PBO,0,31,.,17,M,2,43,0.697916667
121,"Ferris ORION, 2019  ",2019,AIL23,47,62,,18,L,2,46,0.679487179
121,"Ferris ORION, 2019  ",2019,PBO,0,16,,18,L,2,46,0.679487179
123,NCT03000075  ,2017,AIL23,85,113,.,.,L,2,52,0.83625731
123,NCT03000075  ,2017,PBO,1,58,.,.,L,2,52,0.83625731
124,Ohtsuki 2017  ,2017,PBO,1,84,70,21,L,2,50.5,0.795275591
124,Ohtsuki 2017  ,2017,SM,18,170,70,21,L,2,50.5,0.795275591
125,Ohtsuki 2018,2018,AIL23,90,128,71,26,M,2,49,0.755208333
125,Ohtsuki 2018,2018,PBO,0,64,71,26,M,2,49,0.755208333
127,"Papp BE ABLE, 2018",2018,AIL17,142,208,88,19,L,2,44,0.652
127,"Papp BE ABLE, 2018",2018,PBO,0,42,88,19,L,2,44,0.652
128,"Papp NCT02054481, 2017  ",2017,AIL1223,16,40,90,20,H,1,46,0.656626506
128,"Papp NCT02054481, 2017  ",2017,AIL23,78,126,90,20,H,1,46,0.656626506
129,"Papp TYK2, 2018",2018,PBO,1,45,88,18,L,2,45,0.72659176
129,"Papp TYK2, 2018",2018,SM,69,222,88,18,L,2,45,0.72659176
130,"Reich TRANSFIGURE, 2016",2018,AIL17,84,133,90.5,20,L,2,44,0.808080808
130,"Reich TRANSFIGURE, 2016",2018,PBO,1,65,90.5,20,L,2,44,0.808080808
131,"Reich IXORA-S, 2017  ",2017,AIL1223,70,166,87.5,20,L,1,43,0.668874172
131,"Reich IXORA-S, 2017  ",2017,AIL17,99,136,87.5,20,L,1,43,0.668874172
132,"Reich ReSURFACE-1, 2017  ",2017,AIL23,216,617,88.5,20,L,2,47,0.690414508
132,"Reich ReSURFACE-1, 2017  ",2017,PBO,4,155,88.5,20,L,2,47,0.690414508
133,"Reich ReSURFACE-2, 2017",2017,AIL23,234,621,88.5,20,L,1,45,0.508256881
133,"Reich ReSURFACE-2, 2017",2017,ATA,67,313,88.5,20,L,1,45,0.508256881
133,"Reich ReSURFACE-2, 2017",2017,PBO,2,156,88.5,20,L,1,45,0.508256881
135,Zhang 2017,2017,PBO,3,88,.,.,M,2,41,0.729323308
135,Zhang 2017,2017,SM,85,178,.,.,M,2,41,0.729323308
136,"Lebwohl CIMPACT, 2018",2018,ATA,154,502,89,21,M,2,46,0.68157424
136,"Lebwohl CIMPACT, 2018",2018,PBO,0,57,89,21,M,2,46,0.68157424
138,EUCTR2015-003623-65-DE  ,2019,AIL23,218,301,.,.,L,1,46,0.697520661
138,EUCTR2015-003623-65-DE  ,2019,ATA,144,304,.,.,L,1,46,0.697520661
139,NCT02672852 IMMhance,2019,AIL23,298,407,.,.,L,2,49,0.702169625
139,NCT02672852 IMMhance,2019,PBO,2,100,.,.,L,2,49,0.702169625
143,NCT02559622 von Stebut CARIMA 2019,2020,AIL17,27,102,89,19.5,H,2,45.2,0.675496689
143,NCT02559622 von Stebut CARIMA 2019,2020,PBO,0,49,89,19.5,H,2,45.2,0.675496689
144,Reich 2019,2019,AIL23,79,153,88,20,L,2,47,0.741463415
144,Reich 2019,2019,PBO,0,52,88,20,L,2,47,0.741463415
145,"NCT02187172 Gelfand VIP-U, 2020",2020,AIL1223,9,22,100.5,20,M,2,42.5,0.697674419
145,"NCT02187172 Gelfand VIP-U, 2020",2020,PBO,0,21,100.5,20,M,2,42.5,0.697674419
147,"NCT02690701 Gelfand VIP-S, 2020",2020,AIL17,34,46,94.5,22,L,2,47.5,0.67032967
147,"NCT02690701 Gelfand VIP-S, 2020",2020,PBO,0,45,94.5,22,L,2,47.5,0.67032967
148,NCT02748863 ALLURE,2020,AIL17,98,143,.,.,L,2,.,0.621495327
148,NCT02748863 ALLURE,2020,PBO,1,71,.,.,L,2,.,0.621495327
149,NCT03051217,2020,ATA,66,101,.,.,L,2,50,0.779527559
149,NCT03051217,2020,PBO,0,26,.,.,L,2,50,0.779527559
150,NCT03066609,2020,AIL17,295,408,.,.,L,2,40.5,0.758747698
150,NCT03066609,2020,PBO,2,135,.,.,L,2,40.5,0.758747698
154,"Van Voorhees STYLE, 2020",2020,PBO,0,102,.,18,L,2,47,0.617161716
154,"Van Voorhees STYLE, 2020",2020,SM,0,201,.,18,L,2,47,0.617161716
155,"Gottlieb IXORA-R, 2019",2020,AIL17,378,520,95,19,L,1,49,0.634858812
155,"Gottlieb IXORA-R, 2019",2020,AIL23,285,507,95,19,L,1,49,0.634858812
156,NCT03055494 ObePso-S,2020,AIL17,29,54,.,.,L,2,44.5,0.509803922
156,NCT03055494 ObePso-S,2020,PBO,0,28,.,.,L,2,44.5,0.509803922
157,"Warren IMMerge, 2020",2020,AIL17,107,163,.,20,M,1,47,0.651376147
157,"Warren IMMerge, 2020",2020,AIL23,121,164,.,20,M,1,47,0.651376147
158,"NCT03482011 OASIS-1, 2020",2020,AIL23,272,423,.,.,L,2,46.5,0.703773585
158,"NCT03482011 OASIS-1, 2020",2020,PBO,7,107,.,.,L,2,46.5,0.703773585
