,studlab,treat1,treat2,TE,seTE,event1,n1,event2,n2,incr,allstudies,studlab.orig,rob,effect_size1,outcome1_direction,treat.orig1,treat.orig2,r1,r2,n.orig1,n.orig2,year,year2,age_mean1,age_mean2
95,269,fluo,mirt,-2.8332133441,1.5573501104,6,12,8,8,0.5,0,269,1,OR,beneficial,fluo,mirt,6,8,12,8,2003.0,2003.0,44.0,41.0
96,270,fluo,mirt,-0.9162907319,0.6892024376,8,18,12,18,0.0,0,270,1,OR,beneficial,fluo,mirt,8,12,18,18,2005.0,2005.0,38.0,35.0
97,271,fluo,mirt,-0.16214903860000002,0.258674689,104,149,106,145,0.0,0,271,1,OR,beneficial,fluo,mirt,104,106,149,145,2005.0,2005.0,47.0,43.0
98,272,mirt,venl,0.2787434655,0.2498215675,72,130,62,128,0.0,0,272,1,OR,beneficial,mirt,venl,72,62,130,128,2006.0,2006.0,,
99,277,fluv,mirt,0.34347343210000003,0.2872392721,70,105,61,104,0.0,0,277,1,OR,beneficial,fluv,mirt,70,61,105,104,2002.0,2002.0,39.0,42.0
100,278,fluv,mirt,-0.6250937173000001,0.2952692369,57,102,71,101,0.0,0,278,1,OR,beneficial,fluv,mirt,57,71,102,101,2002.0,2002.0,42.0,41.0
101,279,mirt,venl,0.3440961617,0.2430777638,70,140,56,135,0.0,0,279,1,OR,beneficial,mirt,venl,70,56,140,135,2006.0,2006.0,46.0,45.0
102,280,mirt,paro,-0.3829922523,0.3364125454,40,73,48,75,0.0,0,280,1,OR,beneficial,mirt,paro,40,48,73,75,,,47.0,43.0
103,281,mirt,paro,-1.1592369105,0.7094138241,4,21,9,21,0.0,0,281,2,OR,beneficial,mirt,paro,4,9,21,21,2009.0,2009.0,46.0,40.0
104,284,fluo,nefa,0.0953101798,0.6105139415,11,21,11,22,0.0,0,284,2,OR,beneficial,fluo,nefa,11,11,21,22,1997.0,1997.0,37.0,37.0
105,285,nefa,paro,-0.088947486,0.2810963684,58,105,58,101,0.0,0,285,2,OR,beneficial,nefa,paro,58,58,105,101,1996.0,1996.0,38.0,38.0
106,286,fluo,nefa,0.10845170820000001,0.4658440339,18,37,17,37,0.0,0,286,2,OR,beneficial,fluo,nefa,18,17,37,37,1997.0,1997.0,40.0,42.0
107,289,nefa,sert,0.1541506798,0.3168087584,42,78,41,82,0.0,0,289,2,OR,beneficial,nefa,sert,42,41,78,82,1996.0,1996.0,45.0,43.0
108,292,fluo,nefa,-0.4054651081,0.6123724357,8,20,12,24,0.0,0,292,1,OR,beneficial,fluo,nefa,8,12,20,24,1997.0,1997.0,37.0,35.0
109,293,nefa,paro,-1.1856236657,0.7173006357,11,20,16,20,0.0,0,293,1,OR,beneficial,nefa,paro,11,16,20,20,2002.0,2002.0,43.0,43.0
110,305,amit,paro,-0.8754687374000001,0.9457507306,3,12,4,9,0.0,0,305,1,OR,beneficial,amit,paro,3,4,12,9,,,50.0,47.0
111,307,amit,paro,0.9162907319,0.9746794345,5,13,2,10,0.0,0,307,2,OR,beneficial,amit,paro,5,2,13,10,,,44.0,39.0
112,311,amit,paro,0.70032854,0.3206975889,43,80,30,82,0.0,0,311,2,OR,beneficial,amit,paro,43,30,80,82,,,38.0,40.0
113,312,amit,paro,-0.20252426410000002,0.5215590183000001,14,30,15,29,0.0,0,312,2,OR,beneficial,amit,paro,14,15,30,29,,,46.0,43.0
114,324,amit,paro,-1.0296194172,0.8472645058,4,12,7,12,0.0,0,324,2,OR,beneficial,amit,paro,4,7,12,12,1989.0,1989.0,39.0,39.0
115,326,clom,paro,0.315270029,0.4863265225,28,39,26,40,0.0,0,326,2,OR,beneficial,clom,paro,28,26,39,40,1989.0,1989.0,68.0,69.0
116,327,clom,paro,-0.4967266994,0.4654456159,25,42,29,41,0.0,0,327,2,OR,beneficial,clom,paro,25,29,42,41,1993.0,1993.0,70.0,71.0
117,329,clom,paro,-1.1939224685,0.533238628,12,30,22,32,0.0,0,329,2,OR,beneficial,clom,paro,12,22,30,32,,,73.0,73.0
118,330,clom,paro,-0.4480247225,0.42158927900000004,23,47,27,45,0.0,0,330,2,OR,beneficial,clom,paro,23,27,47,45,1991.0,1991.0,71.0,72.0
119,331,amit,paro,0.1335313926,0.41981214370000003,24,47,21,44,0.0,0,331,2,OR,beneficial,amit,paro,24,21,47,44,1995.0,1995.0,71.0,71.0
120,332,clom,paro,0.6662177687,0.37204084190000003,31,58,23,62,0.0,0,332,2,OR,beneficial,clom,paro,31,23,58,62,1990.0,1990.0,,
