,studlab,treat1,treat2,OR,TE_direct,TE_adj,seTE
196,312,amit,paro,-0.20252426410000002,0.08765144550000001,-0.2901757096,0.5215590183000001
197,324,amit,paro,-1.0296194172,0.08765144550000001,-1.1172708627,0.8472645058
198,331,amit,paro,0.1335313926,0.08765144550000001,0.0458799471,0.41981214370000003
199,338,amit,paro,0.28107096740000004,0.08765144550000001,0.1934195219,0.2298405506
200,339,amit,paro,-0.4734698372,0.08765144550000001,-0.5611212827000001,0.44336060660000004
201,340,amit,paro,0.5877866649,0.08765144550000001,0.5001352194,0.6522245207
202,348,amit,paro,-0.8544153282,0.08765144550000001,-0.9420667737,0.3195084761
203,350,amit,paro,0.2554935123,0.08765144550000001,0.1678420668,0.3287082773
204,351,amit,paro,0.0425596144,0.08765144550000001,-0.0450918311,0.3501035044
205,361,amit,paro,0.2816197778,0.08765144550000001,0.19396833230000002,0.2695144353
206,202,fluo,paro,-0.20544397420000002,-0.2330424339,0.0275984597,0.30494309010000004
207,335,fluo,paro,0.10570351,-0.2330424339,0.3387459439,0.30897775180000003
208,336,fluo,paro,-1.0938390099,-0.2330424339,-0.860796576,0.4784665926
209,337,fluo,paro,-0.5096218921,-0.2330424339,-0.2765794582,0.3776642536
210,343,fluo,paro,0.0392207132,-0.2330424339,0.2722631471,0.4022373327
211,344,fluo,paro,-0.2876820725,-0.2330424339,-0.054639638600000005,0.43885372570000003
212,347,fluo,paro,-0.11300975690000001,-0.2330424339,0.120032677,0.3412334221
213,359,fluo,paro,0.0289875369,-0.2330424339,0.2620299708,0.2963679125
214,364,fluo,paro,-0.4970323016,-0.2330424339,-0.2639898677,0.2723505473
215,326,clom,paro,0.315270029,-0.0728868099,0.3881568389,0.4863265225
216,327,clom,paro,-0.4967266994,-0.0728868099,-0.4238398895,0.4654456159
217,329,clom,paro,-1.1939224685,-0.0728868099,-1.1210356586,0.533238628
218,330,clom,paro,-0.4480247225,-0.0728868099,-0.3751379126,0.42158927900000004
219,332,clom,paro,0.6662177687,-0.0728868099,0.7391045786,0.37204084190000003
220,356,clom,paro,-0.055503024500000005,-0.0728868099,0.0173837854,0.1299990974
221,227,fluv,paro,0.134732594,-0.1380106592,0.27274325320000004,0.5193025879000001
222,342,fluv,paro,-0.2795848622,-0.1380106592,-0.141574203,0.3741412056
223,247,miln,paro,-0.0725125516,-0.044842408300000004,-0.027670143300000002,0.2337070091
224,248,miln,paro,-0.0345795193,-0.044842408300000004,0.010262889,0.1423314417
225,264,mirt,paro,0.1885183233,0.0056734824,0.1828448409,0.24152713790000002
226,265,mirt,paro,0.3466246081,0.0056734824,0.3409511257,0.2521194431
227,268,mirt,paro,-0.23197146540000002,0.0056734824,-0.2376449478,0.2940030746
228,280,mirt,paro,-0.3829922523,0.0056734824,-0.3886657347,0.3364125454
